row_label_raw,row_label_full,Mã số,NGUỒN VÒN,Thuyết minh,Số cuối năm,Số đầu năm (Trình bày lại - Thuyết minh số 38),numeric__NGUỒN VÒN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (Trình bày lại - Thuyết minh số 38)
300,300,300,C. NỘ PHẢI TRẢ,,24.984.262.903,16.986.609.990,,,24984262903.0,16986609990.0
310,310,310,I. Nợ ngắn hạn,,6.124.980.643,7.030.109.890,,,6124980643.0,7030109890.0
311,311,311,1. Phải trả người bán ngắn hạn,18,644.831.970,630.784.705,,18.0,644831970.0,630784705.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,19,180.807.868,787.064.002,,19.0,180807868.0,787064002.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,20,120.251.709,148.940.710,,20.0,120251709.0,148940710.0
314,314,314,4. Phải trả người lao động,,52.564.498,27.580.067,,,52564498.0,27580067.0
315,315,315,5. Chi phí phải trả ngắn hạn,21,144.091.844,474.504.889,,21.0,144091844.0,474504889.0
318,318,318,6 Doanh thu chưa thực hiện ngắn hạn,,9.101.752,-,,,9101752.0,
319,319,319,7. Phải trả ngắn hạn khác,22,2.834.677.638,1.834.130.467,,22.0,2834677638.0,1834130467.0
320,320,320,8. Vay ngắn hạn,24,2.138.653.364,3.127.105.050,,24.0,2138653364.0,3127105050.0
330,330,330,II. Nợ dài hạn,,18.859.282.260,9.956.500.100,,,18859282260.0,9956500100.0
337,337,337,1. Phải trả dài hạn khác,22,1.309.428.416,847.958.773,,22.0,1309428416.0,847958773.0
338,338,338,2. Vay dài hạn,24,17.257.342.463,9.108.541.327,,24.0,17257342463.0,9108541327.0
341,341,341,3. Thuế thu nhập hoãn lại phải trả,33.2,21.285.888,-,,332.0,21285888.0,
342,342,342,4. Dự phòng phải trả dài nạn,23,271.225.493,-,,23.0,271225493.0,
400,400,400,D. VÔN CHỦ SỞ HỮU,,10.483.990.146,9.749.020.617,,,10483990146.0,9749020617.0
410,410,410,I. Vốn chủ sở hữu,,10.483.990.146,9.749.020.617,,,10483990146.0,9749020617.0
411,411,411,1. Vốn cổ phần,25.1,7.671.438.950,7.081.438.950,,251.0,7671438950.0,7081438950.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,7.671.438.950,7.081.438.950,,,7671438950.0,7081438950.0
412,412,412,2. Thặng dư vốn cổ phần,25.1,1.064.550.810,2.550.810,,251.0,1064550810.0,2550810.0
417,417,417,3. Chênh lệch tỷ giả hối đoái,25.1,546.519.640,443.148.354,,251.0,546519640.0,443148354.0
421,421,421,4. Lợi nhuận sau thuế chưa phân phối,25.1,1.141.711.973,2.126.574.755,,251.0,1141711973.0,2126574755.0
421a,421a,421a,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,,2.126.574.755,1.419.585.622,,,2126574755.0,1419585622.0
421b,421b,421b,- (Lỗ) lợi nhuận sau thuế chưa phân phối năm nay,,(984.862.782),706.989.133,,,-984862782.0,706989133.0
429,429,429,5. Lợi ích cổ đông không kiểm soát,26,59.768.773,95.307.748,,26.0,59768773.0,95307748.0
440,440,440,TỔNG CỘNG NGUỒN VÒN,,35.468.253.049,26.735.630.607,,,35468253049.0,26735630607.0
