row_label_raw,row_label_full,col_0,Năm nay,Ngân VNDNăm trước,numeric__Năm nay,numeric__Ngân VNDNăm trước
Doanh thu gộp,Doanh thu gộp,Doanh thu gộp,4.777.217.797,4.730.680.433,4777217797.0,4730680433.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bán bò,Trong đó: > Doanh thu bán bò,Doanh thu bán bò,3.469.931.141,2.541.497.018,3469931141.0,2541497018.0
Doanh thu bán hàng hóa,Trong đó: > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,513.254.738,352.436.994,513254738.0,352436994.0
Doanh thu bán các sản phẩm ngành đường,Trong đó: > Doanh thu bán các sản phẩm ngành đường,Doanh thu bán các sản phẩm ngành đường,463.077.421,957.503.311,463077421.0,957503311.0
Doanh thu bán bắp,Trong đó: > Doanh thu bán bắp,Doanh thu bán bắp,134.803.013,295.939.624,134803013.0,295939624.0
Doanh thu bán mũ cao su,Trong đó: > Doanh thu bán mũ cao su,Doanh thu bán mũ cao su,114.025.799,197.055.040,114025799.0,197055040.0
Doanh thu từ cung cấp dịch vụ,Trong đó: > Doanh thu từ cung cấp dịch vụ,Doanh thu từ cung cấp dịch vụ,50.856.559,45.416.997,50856559.0,45416997.0
Doanh thu bán căn hộ,Trong đó: > Doanh thu bán căn hộ,Doanh thu bán căn hộ,31.269.126,56.972.736,31269126.0,56972736.0
Doanh thu từ các hợp đồng xây dựng,Trong đó: > Doanh thu từ các hợp đồng xây dựng,Doanh thu từ các hợp đồng xây dựng,-,283.858.713,,283858713.0
Các khoản giảm trừ - giảm giá hàng bán,Trong đó: > Các khoản giảm trừ - giảm giá hàng bán,Các khoản giảm trừ - giảm giá hàng bán,(1.249.713),-,-1249713.0,
Doanh thu thuần,Trong đó: > Doanh thu thuần,Doanh thu thuần,4.775.968.084,4.730.680.433,4775968084.0,4730680433.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bán bò,Trong đó: > Doanh thu bán bò,Doanh thu bán bò,3.468.681.428,2.541.497.018,3468681428.0,2541497018.0
Doanh thu bán hàng hóa,Trong đó: > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,513.254.738,352.436.994,513254738.0,352436994.0
Doanh thu bán các sản phẩm ngành đường,Trong đó: > Doanh thu bán các sản phẩm ngành đường,Doanh thu bán các sản phẩm ngành đường,463.077.421,957.503.311,463077421.0,957503311.0
Doanh thu bán bắp,Trong đó: > Doanh thu bán bắp,Doanh thu bán bắp,134.803.013,295.939.624,134803013.0,295939624.0
Doanh thu bán mũ cao su,Trong đó: > Doanh thu bán mũ cao su,Doanh thu bán mũ cao su,114.025.799,197.055.040,114025799.0,197055040.0
Doanh thu từ cung cấp dịch vụ,Trong đó: > Doanh thu từ cung cấp dịch vụ,Doanh thu từ cung cấp dịch vụ,50.856.559,45.416.997,50856559.0,45416997.0
Doanh thu bán căn hộ,Trong đó: > Doanh thu bán căn hộ,Doanh thu bán căn hộ,31.269.126,56.972.736,31269126.0,56972736.0
Doanh thu từ các hợp đồng xây dựng,Trong đó: > Doanh thu từ các hợp đồng xây dựng,Doanh thu từ các hợp đồng xây dựng,-,283.858.713,,283858713.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu thuần với các bên liên quan,Trong đó: > Doanh thu thuần với các bên liên quan,Doanh thu thuần với các bên liên quan,641.557.909,846.957.526,641557909.0,846957526.0
