row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN NGẮN HẠN,100,,13.452.768.128.951,11.574.509.451.963,,100.0,,13452768128951.0,11574509451963.0
I.,I.,I.,Tiền,110,4,2.261.856.283.728,2.115.211.463.601,,110.0,4.0,2261856283728.0,2115211463601.0
1.,1.,1.,Tiền,111,,2.261.856.283.728,2.115.211.463.601,,111.0,,2261856283728.0,2115211463601.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,5,8.212.000.000.000,6.762.000.000.000,,120.0,5.0,8212000000000.0,6762000000000.0
1.,1.,1.,Đầu tư nằm giữ đến ngày đáo hạn,123,,8.212.000.000.000,6.762.000.000.000,,123.0,,8212000000000.0,6762000000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,385.469.289.559,231.631.833.526,,130.0,,385469289559.0,231631833526.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,6,194.850.083.071,243.149.144,,131.0,6.0,194850083071.0,243149144.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,7,78.518.804.858,131.570.030.550,,132.0,7.0,78518804858.0,131570030550.0
3.,3.,3.,Phải thu ngắn hạn khác,136,8,154.658.029.759,141.311.622.261,,136.0,8.0,154658029759.0,141311622261.0
4.,4.,4.,Dự phòng phải thu ngắn hạn khó đòi,137,8,(42.557.628.129),(41.492.968.429),,137.0,8.0,-42557628129.0,-41492968429.0
IV.,IV.,IV.,Hàng tồn kho,140,9,2.142.686.995.402,2.250.165.972.158,,140.0,9.0,2142686995402.0,2250165972158.0
1.,1.,1.,Hàng tồn kho,141,,2.173.961.651.459,2.389.481.246.999,,141.0,,2173961651459.0,2389481246999.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,(31.274.656.057),(139.315.274.841),,149.0,,-31274656057.0,-139315274841.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,450.755.560.262,215.500.182.678,,150.0,,450755560262.0,215500182678.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,10,324.185.399.716,63.248.552.455,,151.0,10.0,324185399716.0,63248552455.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,126.067.958.217,151.749.427.894,,152.0,,126067958217.0,151749427894.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,16,502.202.329,502.202.329,,153.0,16.0,502202329.0,502202329.0
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,1.713.267.329.945,2.524.126.919.407,,200.0,,1713267329945.0,2524126919407.0
I.,I.,I.,Tài sản cố định,220,,1.565.916.044.056,2.171.337.057.239,,220.0,,1565916044056.0,2171337057239.0
1.,1.,1.,Tài sản cố định hữu hình,221,11,1.215.508.303.075,2.124.129.426.767,,221.0,11.0,1215508303075.0,2124129426767.0
,,,- Nguyên giá,222,,15.302.181.635.585,15.147.432.852.651,,222.0,,15302181635585.0,15147432852651.0
,,,- Giá trị hao mòn lũy kế,223,,(14.086.673.332.510),(13.023.303.425.884),,223.0,,-14086673332510.0,-13023303425884.0
2.,2.,2.,Tài sản cố định vô hình,227,12,350.407.740.981,47.207.630.472,,227.0,12.0,350407740981.0,47207630472.0
,,,- Nguyên giá,228,,499.937.770.131,178.085.717.860,,228.0,,499937770131.0,178085717860.0
,,,- Giá trị hao mòn lũy kế,229,,(149.530.029.150),(130.878.087.388),,229.0,,-149530029150.0,-130878087388.0
II.,II.,II.,Tài sản dở dang dài hạn,240,,86.003.883.188,33.104.028.396,,240.0,,86003883188.0,33104028396.0
1.,1.,1.,Chi phí xây dựng cơ bản dở dang,242,13,86.003.883.188,33.104.028.396,,242.0,13.0,86003883188.0,33104028396.0
III.,III.,III.,Đầu tư tài chính dài hạn,250,5,20.826.250.000,20.826.250.000,,250.0,5.0,20826250000.0,20826250000.0
1.,1.,1.,Đầu tư vào công ty con,251,,20.826.250.000,20.826.250.000,,251.0,,20826250000.0,20826250000.0
IV.,IV.,IV.,Tài sản dài hạn khác,260,,40.521.152.701,298.859.583.772,,260.0,,40521152701.0,298859583772.0
1.,1.,1.,Chi phí trả trước dài hạn,261,10,32.565.979.597,291.612.451.066,,261.0,10.0,32565979597.0,291612451066.0
2.,2.,2.,Tài sản thuế thu nhập hoãn lại,262,,7.955.173.104,7.247.132.706,,262.0,,7955173104.0,7247132706.0
,,,TỔNG CỘNG TÀI SẢN (270=100+200),270,,15.166.035.458.896,14.098.636.371.370,,270.0,,15166035458896.0,14098636371370.0
