row_label_raw,row_label_full,Năm nay,Nội địa > VND,Nước ngoài > VND,Tổng cộng > VND,numeric__Nội địa > VND,numeric__Nước ngoài > VND,numeric__Tổng cộng > VND
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,9.325.613.335.883,3.120.780.625.236,12.446.393.961.119,9325613335883.0,3120780625236.0,12446393961119.0
Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,Giá vốn hàng bán và cung cấp dịch vụ,(7.783.123.933.713),(2.657.070.042.850),(10.440.193.976.563),-7783123933713.0,-2657070042850.0,-10440193976563.0
Lợi nhuận kinh doanh theo bộ phận,Lợi nhuận kinh doanh theo bộ phận,Lợi nhuận kinh doanh theo bộ phận,1.542.489.402.170,463.710.582.386,2.006.199.984.556,1542489402170.0,463710582386.0,2006199984556.0
Chi phí hoạt động chung,Chi phí hoạt động chung,Chi phí hoạt động chung,,,(1.326.642.680.882),,,-1326642680882.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,577.255.344.970,,,577255344970.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,(27.099.798.480),,,-27099798480.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,24.744.202.802,,,24744202802.0
Chi phí khác,Chi phí khác,Chi phí khác,,,(2.269.270.186),,,-2269270186.0
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,1.252.187.782.780,,,1252187782780.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,(144.317.266.613),,,-144317266613.0
Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,,,708.040.398,,,708040398.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,1.108.578.556.565,,,1108578556565.0
