row_label_raw,row_label_full,col_0,Nhà xưởngvà vật kiến trúc,Máy mócvà thiết bị,Thiết bịvăn phòng,Phương tiệnvận tải và thiếtbj truyền dẫn,Tài sản cố định hữuhình khác,Tổng,numeric__Nhà xưởngvà vật kiến trúc,numeric__Máy mócvà thiết bị,numeric__Thiết bịvăn phòng,numeric__Phương tiệnvận tải và thiếtbj truyền dẫn,numeric__Tài sản cố định hữuhình khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,3.834.353.232.861,11.058.081.697.664,122.270.518.695,73.357.329.616,59.369.973.815,15.147.432.852.651,3834353232861.0,11058081697664.0,122270518695.0,73357329616.0,59369973815.0,15147432852651.0
Mua sắm mới trong năm,NGUYÊN GIÁ > Mua sắm mới trong năm,Mua sắm mới trong năm,68.819.530.406,18.444.692.983,14.534.524.631,8.234.088.140,-,110.032.936.160,68819530406.0,18444692983.0,14534524631.0,8234088140.0,,110032936160.0
Đầu tư xây dựng cơ bản hoànthành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoànthành,Đầu tư xây dựng cơ bản hoànthành,23.801.524.660,20.929.494.286,-,-,-,44.731.018.946,23801524660.0,20929494286.0,,,,44731018946.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,(15.172.172),-,-,-,-,(15.172.172),-15172172.0,,,,,-15172172.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,(79.503.329.126),72.064.347.056,7.173.717.958,-,265.264.112,-,-79503329126.0,72064347056.0,7173717958.0,,265264112.0,
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,3.847.455.786.629,11.169.520.231.989,143.978.961.284,81.591.417.756,59.635.237.927,15.302.181.635.585,3847455786629.0,11169520231989.0,143978961284.0,81591417756.0,59635237927.0,15302181635585.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,3.202.837.428.657,9.675.561.406.783,69.818.649.380,56.257.993.052,18.827.948.012,13.023.303.425.884,3202837428657.0,9675561406783.0,69818649380.0,56257993052.0,18827948012.0,13023303425884.0
Khẩu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,260.445.775.859,785.871.650.394,12.955.587.480,4.076.912.070,19.980.823,1.063.369.906.626,260445775859.0,785871650394.0,12955587480.0,4076912070.0,19980823.0,1063369906626.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,(204.468.760.041),152.332.604.900,10.926.860.555,421.985.494,40.787.309.092,-,-204468760041.0,152332604900.0,10926860555.0,421985494.0,40787309092.0,
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,3.258.814.444.475,10.613.765.662.077,93.701.097.415,50.756.890.616,59.635.237.927,14.086.673.332.510,3258814444475.0,10613765662077.0,93701097415.0,50756890616.0,59635237927.0,14086673332510.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,631.515.804.204,1.382.520.290.881,52.451.969.315,17.099.336.564,40.542.025.803,2.124.129.426.767,631515804204.0,1382520290881.0,52451969315.0,17099336564.0,40542025803.0,2124129426767.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,588.641.342.154,555.754.569.912,50.277.863.869,20.834.527.140,-,1.215.508.303.075,588641342154.0,555754569912.0,50277863869.0,20834527140.0,,1215508303075.0
