row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng cộng VND
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,5.294.000.000.000,961.092.701.356,1.187.745.900.768,7.442.838.602.124,5294000000000.0,961092701356.0,1187745900768.0,7442838602124.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,4.313.435.784.891,4.313.435.784.891,,,4313435784891.0,4313435784891.0
Tạm trích Quỹ đầu tư phát triển từ lợi nhuận trong năm,Tạm trích Quỹ đầu tư phát triển từ lợi nhuận trong năm,Tạm trích Quỹ đầu tư phát triển từ lợi nhuận trong năm,-,1.294.030.735.467,(1.294.030.735.467),-,,1294030735467.0,-1294030735467.0,
"Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận trong năm","Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận trong năm","Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận trong năm",-,-,(238.193.457.903),(238.193.457.903),,,-238193457903.0,-238193457903.0
"Điều chỉnh giảm Cuỹ khen thưởng, phúc lợi từ lợi nhuận năm 2021","Điều chỉnh giảm Cuỹ khen thưởng, phúc lợi từ lợi nhuận năm 2021","Điều chỉnh giảm Cuỹ khen thưởng, phúc lợi từ lợi nhuận năm 2021",-,-,555.210.000,555.210.000,,,555210000.0,555210000.0
Chia cổ tức từ lợi nhuận năm 2021,Chia cổ tức từ lợi nhuận năm 2021,Chia cổ tức từ lợi nhuận năm 2021,-,-,(952.920.000.000),(952.920.000.000),,,-952920000000.0,-952920000000.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,5.294.000.000.000,2.255.123.436.823,3.016.592.702.289,10.565.716.139.112,5294000000000.0,2255123436823.0,3016592702289.0,10565716139112.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,1.108.578.556.565,1.108.578.556.565,,,1108578556565.0,1108578556565.0
Tạm trích Quỹ đầu tư phát triển từ lợi nhuận trong năm (i),Tạm trích Quỹ đầu tư phát triển từ lợi nhuận trong năm (i),Tạm trích Quỹ đầu tư phát triển từ lợi nhuận trong năm (i),-,332.573.566.969,(332.573.566.969),-,,332573566969.0,-332573566969.0,
"Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận trong năm (i)","Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận trong năm (i)","Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận trong năm (i)",-,-,(156.630.952.291),(156.630.952.291),,,-156630952291.0,-156630952291.0
"Điều chỉnh giảm Cuỹ khen thưởng, phúc lợi từ lợi nhuận năm 2022 (ii)","Điều chỉnh giảm Cuỹ khen thưởng, phúc lợi từ lợi nhuận năm 2022 (ii)","Điều chỉnh giảm Cuỹ khen thưởng, phúc lợi từ lợi nhuận năm 2022 (ii)",-,-,(3.737.002.097),(3.737.002.097),,,-3737002097.0,-3737002097.0
Chia cổ tức từ lợi nhuận năm 2022,Chia cổ tức từ lợi nhuận năm 2022,Chia cổ tức từ lợi nhuận năm 2022,-,-,(1.588.200.000.000),(1.588.200.000.000),,,-1588200000000.0,-1588200000000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,5.294.000.000.000,2.587.697.003.792,2.044.029.737.497,9.925.726.741.289,5294000000000.0,2587697003792.0,2044029737497.0,9925726741289.0
