row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,,,,
Công ty Cổ phần Đầu tư Thành Thành Công,Phải trả khác ngắn hạn > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Cổ đông lớn,Lãi vay,35.808.835.350,-,,,35808835350.0,
Công ty Cổ phần Thương Tín Tàu Cuốc,Phải trả khác ngắn hạn > Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty con,Khác,14.000.000.000,-,,,14000000000.0,
Công ty Cổ phần Đầu tư Bất động sản TTC Land Hưng Điền,Phải trả khác ngắn hạn > Công ty Cổ phần Đầu tư Bất động sản TTC Land Hưng Điền,Công ty Cổ phần Đầu tư Bất động sản TTC Land Hưng Điền,Công ty con,Chi phí đến bù của dự án,9.082.000.000,9.082.000.000,,,9082000000.0,9082000000.0
Công ty TNHH Thương Tín - CJ Cầu Tre,Phải trả khác ngắn hạn > Công ty TNHH Thương Tín - CJ Cầu Tre,Công ty TNHH Thương Tín - CJ Cầu Tre,Công ty con,Thu hộ,539.000.000,539.000.000,,,539000000.0,539000000.0
Công ty TNHH MTV TTC Land Retail Management,Phải trả khác ngắn hạn > Công ty TNHH MTV TTC Land Retail Management,Công ty TNHH MTV TTC Land Retail Management,Công ty con,Lãi vay,203.475.209,177.675.208,,,203475209.0,177675208.0
Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Phải trả khác ngắn hạn > Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Công ty con,Khác,125.589.041,-,,,125589041.0,
Công ty Kim Thành,Phải trả khác ngắn hạn > Công ty Kim Thành,Công ty Kim Thành,Công ty liên kết đến ngày 11 tháng 8 năm 2022,Lãi vay,-,1.063.042.465,,,,1063042465.0
Công ty Hùng Anh Năm,Phải trả khác ngắn hạn > Công ty Hùng Anh Năm,Công ty Hùng Anh Năm,Công ty con,Thu hộ,-,968.938.757,,,,968938757.0
Công ty Cổ phần Thương mại Nguyễn Kim Đà Nẵng,Phải trả khác ngắn hạn > Công ty Cổ phần Thương mại Nguyễn Kim Đà Nẵng,Công ty Cổ phần Thương mại Nguyễn Kim Đà Nẵng,Công ty con,Hợp tác kinh doanh,-,640.553.705,,,,640553705.0
,,,,,59.758.899.600,12.471.210.135,,,59758899600.0,12471210135.0
