row_label_raw,row_label_full,Tên công ty,Lĩnh vực kinh doanh,Tình trạng,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,Số đầu năm_1,Số đầu năm_2,numeric__Lĩnh vực kinh doanh,numeric__Tình trạng,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2
Tên công ty,Tên công ty,Tên công ty,Lĩnh vực kinh doanh,Tình trạng,% sở hữu,Giá gốc (VND),Dự phòng (VND),% sở hữu,Giá gốc (VND),Dự phòng (VND),,,,,,,,
Công ty Hùng Anh Năm (*),Tên công ty > Công ty Hùng Anh Năm (*),Công ty Hùng Anh Năm (*),Kinh doanh bất động sản,Đang hoạt động,"95,00",680.940.335.000,(17.233.978.561),"100,00",707.940.300.000,(19.006.384.637),,,95.0,680940335000.0,-17233978561.0,100.0,707940300000.0,-19006384637.0
Công ty Cổ phần Thương mại Nguyễn Kim Đà Nẵng,Tên công ty > Công ty Cổ phần Thương mại Nguyễn Kim Đà Nẵng,Công ty Cổ phần Thương mại Nguyễn Kim Đà Nẵng,Kinh doanh bất động sản,Đang hoạt động,"94,68",640.031.966.650,(10.192.639.759),"94,68",640.031.966.650,(14.919.963.285),,,94.68,640031966650.0,-10192639759.0,94.68,640031966650.0,-14919963285.0
Công ty TNHH Thương Tín - CJ Cầu Tre,Tên công ty > Công ty TNHH Thương Tín - CJ Cầu Tre,Công ty TNHH Thương Tín - CJ Cầu Tre,Kinh doanh bất động sản,Đang hoạt động,"74,00",444.000.000.000,-,"74,00",444.000.000.000,-,,,74.0,444000000000.0,,74.0,444000000000.0,
Công ty Cổ phần Thương Tín Tàu Cước,Tên công ty > Công ty Cổ phần Thương Tín Tàu Cước,Công ty Cổ phần Thương Tín Tàu Cước,Kinh doanh bất động sản,Đang hoạt động,"92,20",293.940.224.000,-,"92,20",293.940.224.000,-,,,92.2,293940224000.0,,92.2,293940224000.0,
Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Tên công ty > Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Kinh doanh bất động sản,Đang hoạt động,"99,89",234.112.145.583,(21.099.376.019),"99,89",234.112.145.583,(47.465.913.188),,,99.89,234112145583.0,-21099376019.0,99.89,234112145583.0,-47465913188.0
Công ty Cổ phần Mai Lan,Tên công ty > Công ty Cổ phần Mai Lan,Công ty Cổ phần Mai Lan,Cung cấp dịch vụ,Đang hoạt động,"90,17",145.937.003.328,-,"90,17",145.937.003.328,-,,,90.17,145937003328.0,,90.17,145937003328.0,
Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Tên công ty > Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Cung cấp dịch vụ,Đang hoạt động,"100,00",70.000.000.000,-,"100,00",70.000.000.000,-,,,100.0,70000000000.0,,100.0,70000000000.0,
Công ty Cổ phần Đầu tư Bất động sản TTC Land Hưng Điền,Tên công ty > Công ty Cổ phần Đầu tư Bất động sản TTC Land Hưng Điền,Công ty Cổ phần Đầu tư Bất động sản TTC Land Hưng Điền,Kinh doanh bất động sản,Đang hoạt động,"61,00",13.443.000.000,(108.355.282),"61,00",13.443.000.000,(102.428.221),,,61.0,13443000000.0,-108355282.0,61.0,13443000000.0,-102428221.0
Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Tên công ty > Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Cung cấp dịch vụ,Đang hoạt động,"50,00",5.000.000.000,-,"50,00",5.000.000.000,-,,,50.0,5000000000.0,,50.0,5000000000.0,
Công ty TNHH MTV TTC Land Retail Management,Tên công ty > Công ty TNHH MTV TTC Land Retail Management,Công ty TNHH MTV TTC Land Retail Management,Cung cấp dịch vụ,Đang hoạt động,"100,00",1.300.000.000,-,"100,00",1.300.000.000,-,,,100.0,1300000000.0,,100.0,1300000000.0,
Công ty TNHH MTV Đầu tư Bất động sản TTC Land Phú Quốc,Tên công ty > Công ty TNHH MTV Đầu tư Bất động sản TTC Land Phú Quốc,Công ty TNHH MTV Đầu tư Bất động sản TTC Land Phú Quốc,Kinh doanh bất động sản,Đang hoạt động,"100,00",50.000.000,(42.654.244),"100,00",50.000.000,(38.170.303),,,100.0,50000000.0,-42654244.0,100.0,50000000.0,-38170303.0
TỔNG CÔNG,Tên công ty > TỔNG CÔNG,TỔNG CÔNG,,,,2.528.754.674.561,(48.677.003.865),,2.555.754.639.561,(81.532.859.634),,,,2528754674561.0,-48677003865.0,,2555754639561.0,-81532859634.0
