row_label_raw,row_label_full,Cho vay các bên liên quan (Thuyết minh số 31) (i),Số cuối năm > 411.411.634.246,VND Số đầu năm > 925.136.000.000,numeric__Số cuối năm > 411.411.634.246,numeric__VND Số đầu năm > 925.136.000.000
Cho vay các bên khác (ii),Cho vay các bên khác (ii),Cho vay các bên khác (ii),291.570.694.445,414.592.712.445,291570694445.0,414592712445.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,702.982.328.691,1.339.728.712.445,702982328691.0,1339728712445.0
