row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Công ty TNHH MTV Kinh doanh,Công ty TNHH MTV Kinh doanh,Công ty TNHH MTV Kinh doanh,Công ty con,Mua dịch vụ,6.675.196.709,349.308.170,,,6675196709.0,349308170.0
Công ty TNHH MTV Kinh doanh,Công ty TNHH MTV Kinh doanh,Công ty TNHH MTV Kinh doanh,Công ty con,Cung cấp dịch vụ,278.885.208,278.885.208,,,278885208.0,278885208.0
Dịch vụ Địa ốc Sài Gòn Thương Tín,Dịch vụ Địa ốc Sài Gòn Thương Tín,Dịch vụ Địa ốc Sài Gòn Thương Tín,,Lợi nhuận được chia,23.089.574.632,-,,,23089574632.0,
Dịch vụ Địa ốc Sài Gòn Thương Tín,Dịch vụ Địa ốc Sài Gòn Thương Tín,Dịch vụ Địa ốc Sài Gòn Thương Tín,,Bán hàng hóa,3.022.650.893,-,,,3022650893.0,
Công ty TNHH Dịch vụ Quản lý Bất động sản,Công ty TNHH Dịch vụ Quản lý Bất động sản,Công ty TNHH Dịch vụ Quản lý Bất động sản,Công ty con,Mua dịch vụ,53.985.742.829,28.429.298.834,,,53985742829.0,28429298834.0
Công ty TNHH Dịch vụ Quản lý Bất động sản,Công ty TNHH Dịch vụ Quản lý Bất động sản,Công ty TNHH Dịch vụ Quản lý Bất động sản,Công ty con,Cung cấp dịch vụ,84.314.136,84.314.136,,,84314136.0,84314136.0
Công ty TNHH Dịch vụ Quản lý Bất động sản,Công ty TNHH Dịch vụ Quản lý Bất động sản,Công ty TNHH Dịch vụ Quản lý Bất động sản,Công ty con,Gốc đi vay,20.500.000.000,-,,,20500000000.0,
Sài Gòn Thương Tín,Sài Gòn Thương Tín,Sài Gòn Thương Tín,,Trả gốc vay,2.500.000.000,-,,,2500000000.0,
Sài Gòn Thương Tín,Sài Gòn Thương Tín,Sài Gòn Thương Tín,,Lãi đi vay,142.717.808,-,,,142717808.0,
Công ty TNHH MTV TTC Land Retail Management,Công ty TNHH MTV TTC Land Retail Management,Công ty TNHH MTV TTC Land Retail Management,Công ty con,Lãi đi vay,25.800.001,25.800.001,,,25800001.0,25800001.0
Công ty Hùng Anh Năm,Công ty Hùng Anh Năm,Công ty Hùng Anh Năm,Công ty con,Góp vốn,8.839.000.000,4.929.000.000,,,8839000000.0,4929000000.0
Công ty Hùng Anh Năm,Công ty Hùng Anh Năm,Công ty Hùng Anh Năm,Công ty con,Cung cấp dịch vụ,111.952.001,172.650.198,,,111952001.0,172650198.0
Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty con,Trả gốc vay,-,10.900.000.000,,,,10900000000.0
Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty con,Gốc đi vay,-,10.000.000.000,,,,10000000000.0
Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty con,Cung cấp dịch vụ,722.593.999,908.956.975,,,722593999.0,908956975.0
Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty con,Lãi đi vay,-,169.255.722,,,,169255722.0
Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty con,Chuyển nhượng cổ phần,14.335.586.000,-,,,14335586000.0,
Công ty Cổ phần Thương Tín Tàu Quốc,Công ty Cổ phần Thương Tín Tàu Quốc,Công ty Cổ phần Thương Tín Tàu Quốc,Công ty con,Cho vay,-,44.400.000.000,,,,44400000000.0
Công ty Cổ phần Thương Tín Tàu Quốc,Công ty Cổ phần Thương Tín Tàu Quốc,Công ty Cổ phần Thương Tín Tàu Quốc,Công ty con,Thu hồi gốc vay,-,44.400.000.000,,,,44400000000.0
Công ty Cổ phần Thương Tín Tàu Quốc,Công ty Cổ phần Thương Tín Tàu Quốc,Công ty Cổ phần Thương Tín Tàu Quốc,Công ty con,Cổ tức được chia,218.443.188.925,10.922.158.800,,,218443188925.0,10922158800.0
Công ty Cổ phần Thương Tín Tàu Quốc,Công ty Cổ phần Thương Tín Tàu Quốc,Công ty Cổ phần Thương Tín Tàu Quốc,Công ty con,Mua dịch vụ,34.074.825.589,1.776.575.340,,,34074825589.0,1776575340.0
Công ty Cổ phần Thương Tín Tàu Quốc,Công ty Cổ phần Thương Tín Tàu Quốc,Công ty Cổ phần Thương Tín Tàu Quốc,Công ty con,Cung cấp dịch vụ,26.165.227.987,1.247.373.954,,,26165227987.0,1247373954.0
Công ty Cổ phần Thương Tín Tàu Quốc,Công ty Cổ phần Thương Tín Tàu Quốc,Công ty Cổ phần Thương Tín Tàu Quốc,Công ty con,Lãi cho vay,-,5.753.424,,,,5753424.0
Công ty Cổ phần Thương Tín Tàu Quốc,Công ty Cổ phần Thương Tín Tàu Quốc,Công ty Cổ phần Thương Tín Tàu Quốc,Công ty con,Chuyển nhượng cổ phần,21.503.379.000,-,,,21503379000.0,
