row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,,,
Công ty Cổ phần May Tiến Phát,Phải thu về cho vay ngắn hạn > Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Công ty liên kết,Cho vay,378.852.000.000,870.000.000.000,,,378852000000.0,870000000000.0
Công ty Cổ phần Mai Lan,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Mai Lan,Công ty Cổ phần Mai Lan,Công ty con,Cho vay,24.936.000.000,33.636.000.000,,,24936000000.0,33636000000.0
Công ty Cổ phần Toàn Hải Vân,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Công ty trong cùng Tập đoàn,Cho vay,3.785.000.000,21.500.000.000,,,3785000000.0,21500000000.0
Công ty Cổ phần Thương mại Nguyễn Kim Đà Nẵng,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Thương mại Nguyễn Kim Đà Nẵng,Công ty Cổ phần Thương mại Nguyễn Kim Đà Nẵng,Công ty con,Cho vay,3.838.634.246,-,,,3838634246.0,
,,,,,411.411.634.246,925.136.000.000,,,411411634246.0,925136000000.0
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,
Công ty Cổ phần Đầu tư Thành Thành Công,Vay ngắn hạn > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Cổ đông lớn,Vay,58.700.000.000,-,,,58700000000.0,
Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Vay ngắn hạn > Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Công ty con,Vay,18.000.000.000,-,,,18000000000.0,
Bà Huỳnh Bích Ngọc,Vay ngắn hạn > Bà Huỳnh Bích Ngọc,Bà Huỳnh Bích Ngọc,Chủ tịch HĐQT,Vay,16.666.500.000,-,,,16666500000.0,
Công ty TNHH MTV TTC Land Retail Management,Vay ngắn hạn > Công ty TNHH MTV TTC Land Retail Management,Công ty TNHH MTV TTC Land Retail Management,Công ty con,Vay,430.000.000,430.000.000,,,430000000.0,430000000.0
Công ty Kim Thành,Vay ngắn hạn > Công ty Kim Thành,Công ty Kim Thành,Công ty liên kết đến ngày 11 tháng 8 năm 2022,Vay,-,7.300.000.000,,,,7300000000.0
,,,,,93.796.500.000,7.730.000.000,,,93796500000.0,7730000000.0
