row_label_raw,row_label_full,Đầu tư vào các công ty con (Thuyết minh số 16.1) > Đầu tư vào công ty liên kết (Thuyết minh số 16.2) > Đầu tư góp vốn vào các đơn vị khác(Thuyết minh số 16.3) > Đầu tư nằm giữ tới ngày đáo hạn(Thuyết minh số 16.4),Số cuối năm > 2.528.754.674.561 > 1.000.000.000 > 567.648.450.491 > 5.000.000.000,Số đầu năm > 2.555.754.639.561 > 10.600.000.000 > 410.065.325.491 > 5.000.000.000,numeric__Số cuối năm > 2.528.754.674.561 > 1.000.000.000 > 567.648.450.491 > 5.000.000.000,numeric__Số đầu năm > 2.555.754.639.561 > 10.600.000.000 > 410.065.325.491 > 5.000.000.000
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,3.102.403.125.052,2.981.419.965.052,3102403125052.0,2981419965052.0
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,(51.014.562.100),(85.067.508.345),-51014562100.0,-85067508345.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,3.051.388.562.952,2.896.352.456.707,3051388562952.0,2896352456707.0
