row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócthiết bị,Thiết bịvăn phòng,VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócthiết bị,numeric__Thiết bịvăn phòng,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,249.090.909,1.178.642.206,12.675.985.860,14.103.718.975,249090909.0,1178642206.0,12675985860.0,14103718975.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,-,89.636.364,89.636.364,,,89636364.0,89636364.0
Thanh lý trongnăm,Nguyên giá: > Thanh lý trongnăm,Thanh lý trongnăm,(249.090.909),(653.517.216),(816.576.390),(1.719.184.515),-249090909.0,-653517216.0,-816576390.0,-1719184515.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,-,525.124.990,11.949.045.834,12.474.170.824,,525124990.0,11949045834.0,12474170824.0
Trong đó:Đã khấu hao hết,Nguyên giá: > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,-,525.124.990,7.201.877.470,7.727.002.460,,525124990.0,7201877470.0,7727002460.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,249.090.909,1.155.590.671,10.793.544.124,12.198.225.704,249090909.0,1155590671.0,10793544124.0,12198225704.0
Khấu hatoong năm,Giá trị khấu hao lũy kế: > Khấu hatoong năm,Khấu hatoong năm,-,23.051.535,989.883.605,1.012.935.140,,23051535.0,989883605.0,1012935140.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,(249.090.909),(653.517.216),(816.576.390),(1.719.184.515),-249090909.0,-653517216.0,-816576390.0,-1719184515.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,-,525.124.990,10.966.851.339,11.491.976.329,,525124990.0,10966851339.0,11491976329.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,-,23.051.535,1.882.441.736,1.905.493.271,,23051535.0,1882441736.0,1905493271.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,-,-,982.194.495,982.194.495,,,982194495.0,982194495.0
