row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm vi tính,Trang web,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm vi tính,numeric__Trang web,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,90.175.781.818,16.430.317.913,3.926.871.000,110.532.970.731,90175781818.0,16430317913.0,3926871000.0,110532970731.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,86.962.500,-,86.962.500,,86962500.0,,86962500.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,-,2.466.900.000,-,2.466.900.000,,2466900000.0,,2466900000.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,-,(3.506.127.097),-,(3.506.127.097),,-3506127097.0,,-3506127097.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,90.175.781.818,15.478.053.316,3.926.871.000,109.580.706.134,90175781818.0,15478053316.0,3926871000.0,109580706134.0
Trong đó: Đã hao mòn hết,Nguyên giá: > Trong đó: Đã hao mòn hết,Trong đó: Đã hao mòn hết,-,192.000.000,-,192.000.000,,192000000.0,,192000000.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,-,7.352.980.422,2.193.203.333,9.546.183.755,,7352980422.0,2193203333.0,9546183755.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,-,2.051.626.295,228.028.188,2.279.654.483,,2051626295.0,228028188.0,2279654483.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(3.506.127.097),-,(3.506.127.097),,-3506127097.0,,-3506127097.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,-,5.898.479.620,2.421.231.521,8.319.711.141,,5898479620.0,2421231521.0,8319711141.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,90.175.781.818,9.077.337.491,1.733.667.667,100.986.786.976,90175781818.0,9077337491.0,1733667667.0,100986786976.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,90.175.781.818,9.579.573.696,1.505.639.479,101.260.994.993,90175781818.0,9579573696.0,1505639479.0,101260994993.0
Trong đó: Tài sản sử dụng để thế chấp (Thuyết minh số 23),Giá trị còn lại: > Trong đó: Tài sản sử dụng để thế chấp (Thuyết minh số 23),Trong đó: Tài sản sử dụng để thế chấp (Thuyết minh số 23),90.175.781.818,-,-,90.175.781.818,90175781818.0,,,90175781818.0
