row_label_raw,row_label_full,col_0,Máy móc thiết bị,numeric__Máy móc thiết bị
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,2.426.950.909,2426950909.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,2.536.092.728,2536092728.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,4.963.043.637,4963043637.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,246.165.565,246165565.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,648.623.072,648623072.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,894.788.637,894788637.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,2.180.785.344,2180785344.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,4.068.255.000,4068255000.0
