row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm vi tính VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm vi tính VND,numeric__Tổng cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Tại ngày 01 tháng 01 năm 2025,NGUYÊN GIÁ > Tại ngày 01 tháng 01 năm 2025,Tại ngày 01 tháng 01 năm 2025,376.603.041,100.000.000,476.603.041,376603041.0,100000000.0,476603041.0
Số tăng trong năm,NGUYÊN GIÁ > Số tăng trong năm,Số tăng trong năm,7.569.274.113,-,7.569.274.113,7569274113.0,,7569274113.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,7.569.274.113,-,7.569.274.113,7569274113.0,,7569274113.0
Số giảm trong năm,NGUYÊN GIÁ > Số giảm trong năm,Số giảm trong năm,376.603.041,-,376.603.041,376603041.0,,376603041.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",376.603.041,-,376.603.041,376603041.0,,376603041.0
Tại ngày 31 tháng 12 năm 2025,NGUYÊN GIÁ > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,7.569.274.113,100.000.000,7.669.274.113,7569274113.0,100000000.0,7669274113.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Tại ngày 01 tháng 01 năm 2025,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 01 tháng 01 năm 2025,Tại ngày 01 tháng 01 năm 2025,62.802.889,67.916.675,130.719.564,62802889.0,67916675.0,130719564.0
Số tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số tăng trong năm,Số tăng trong năm,5.685.346,11.000.004,16.685.350,5685346.0,11000004.0,16685350.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,5.685.346,11.000.004,16.685.350,5685346.0,11000004.0,16685350.0
Số giảm trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số giảm trong năm,Số giảm trong năm,68.488.235,-,68.488.235,68488235.0,,68488235.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",68.488.235,-,68.488.235,68488235.0,,68488235.0
Tại ngày 31 tháng 12 năm 2025,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,-,78.916.679,78.916.679,,78916679.0,78916679.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày 01 tháng 01 năm 2025,GIÁ TRỊ CÒN LẠI > Tại ngày 01 tháng 01 năm 2025,Tại ngày 01 tháng 01 năm 2025,313.800.152,32.083.325,345.883.477,313800152.0,32083325.0,345883477.0
Tại ngày 31 tháng 12 năm 2025,GIÁ TRỊ CÒN LẠI > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,7.569.274.113,21.083.321,7.590.357.434,7569274113.0,21083321.0,7590357434.0
