row_label_raw,row_label_full,Năm 2024,Đà Nẵng VND,Huế VND,Phú Yên Khánh Hòa VND,"Bắc Giang Lạng Sơn, Thanh Hóa VND","Đà Lạt, Quảng Ngãi VND",Tổng cộng VND,numeric__Đà Nẵng VND,numeric__Huế VND,numeric__Phú Yên Khánh Hòa VND,"numeric__Bắc Giang Lạng Sơn, Thanh Hóa VND","numeric__Đà Lạt, Quảng Ngãi VND",numeric__Tổng cộng VND
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,346.781.776.090,28.197.616.245,449.634.156.015,16.632.024.073,891.794.929.899,1.733.040.502.322,346781776090.0,28197616245.0,449634156015.0,16632024073.0,891794929899.0,1733040502322.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,,,,,,6.174.503.367.628,,,,,,6174503367628.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,,,,,,(25.906.053.995),,,,,,-25906053995.0
Năm 2025,Năm 2025,Năm 2025,Đà Nẵng VND,Huế VND,"Phú Yên, Khánh Hòa, Bình Định VND","Bắc Giang Lạng Sơn, Thanh Hóa VND","Đà Lạt, Quảng Ngãi VND",Tổng cộng VND,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm 2025 > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,390.063.593.358,31.761.878.704,405.041.525.663,458.835.394.225,808.984.515.353,2.094.686.907.303,390063593358.0,31761878704.0,405041525663.0,458835394225.0,808984515353.0,2094686907303.0
Tài sản bộ phận,Năm 2025 > Tài sản bộ phận,Tài sản bộ phận,,,,,,7.562.722.280.820,,,,,,7562722280820.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Năm 2025 > Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,,,,,,(46.759.428.721),,,,,,-46759428721.0
,,,,,70,,,,,,70.0,,,
