row_label_raw,row_label_full,col_0,Năm tài chínhkết thúc ngày 31 tháng 12 năm,Năm tài chínhkết thúc ngày 31 tháng 12 năm_1,numeric__Năm tài chínhkết thúc ngày 31 tháng 12 năm,numeric__Năm tài chínhkết thúc ngày 31 tháng 12 năm_1
,,,2025VND,2024VND,,
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,2.094.686.907.303,1.733.040.502.322,2094686907303.0,1733040502322.0
Doanh thu xây lắp,Doanh thu xây lắp,Doanh thu xây lắp,1.390.447.902.661,1.162.812.101.711,1390447902661.0,1162812101711.0
"Doanh thu duy tu bảo dưỡng hầm, đường","Doanh thu duy tu bảo dưỡng hầm, đường","Doanh thu duy tu bảo dưỡng hầm, đường",489.580.664.051,363.944.410.409,489580664051.0,363944410409.0
Doanh thu vận hành các trạm thu phí,Doanh thu vận hành các trạm thu phí,Doanh thu vận hành các trạm thu phí,36.611.273.156,29.165.855.839,36611273156.0,29165855839.0
Doanh thu cung cấp dịch vụ trung chuyển,Doanh thu cung cấp dịch vụ trung chuyển,Doanh thu cung cấp dịch vụ trung chuyển,21.506.544.378,20.325.723.896,21506544378.0,20325723896.0
Doanh thu khác,Doanh thu khác,Doanh thu khác,156.540.523.057,156.792.410.467,156540523057.0,156792410467.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,-,-,,
Doanh thu thuần,Các khoản giảm trừ doanh thu > Doanh thu thuần,Doanh thu thuần,2.094.686.907.303,1.733.040.502.322,2094686907303.0,1733040502322.0
Trong đó doanh thu đối với các bên liên quan,Các khoản giảm trừ doanh thu > Trong đó doanh thu đối với các bên liên quan,Trong đó doanh thu đối với các bên liên quan,1.422.564.857.092,898.659.120.197,1422564857092.0,898659120197.0
"Doanh thu duy tu bảo dưỡng hầm, đường","Các khoản giảm trừ doanh thu > Doanh thu duy tu bảo dưỡng hầm, đường","Doanh thu duy tu bảo dưỡng hầm, đường",428.100.415.920,345.828.919.265,428100415920.0,345828919265.0
Doanh thu xây lắp,Các khoản giảm trừ doanh thu > Doanh thu xây lắp,Doanh thu xây lắp,916.288.829.116,426.357.502.352,916288829116.0,426357502352.0
Doanh thu vận hành các trạm thu phí,Các khoản giảm trừ doanh thu > Doanh thu vận hành các trạm thu phí,Doanh thu vận hành các trạm thu phí,36.611.273.156,29.165.855.839,36611273156.0,29165855839.0
Doanh thu khác,Các khoản giảm trừ doanh thu > Doanh thu khác,Doanh thu khác,41.564.338.900,97.306.842.741,41564338900.0,97306842741.0
