row_label_raw,row_label_full,col_0,"Máy móc, thiết bị VND",Phương tiện vận tải VND,Tổng cộng VND,"numeric__Máy móc, thiết bị VND",numeric__Phương tiện vận tải VND,numeric__Tổng cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Tại ngày 01 tháng 01 năm2025,NGUYÊN GIÁ > Tại ngày 01 tháng 01 năm2025,Tại ngày 01 tháng 01 năm2025,5.918.181.818,11.796.594.556,17.714.776.374,5918181818.0,11796594556.0,17714776374.0
Số tăng trong năm,NGUYÊN GIÁ > Số tăng trong năm,Số tăng trong năm,8.870.370.370,21.956.002.206,30.826.372.576,8870370370.0,21956002206.0,30826372576.0
Thuê trong năm,NGUYÊN GIÁ > Thuê trong năm,Thuê trong năm,8.870.370.370,21.956.002.206,30.826.372.576,8870370370.0,21956002206.0,30826372576.0
Số giảm trong năm,Số giảm trong năm,Số giảm trong năm,-,-,-,,,
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,,-,,,
Tại ngày 31 tháng 12 năm2025,Giảm trong năm > Tại ngày 31 tháng 12 năm2025,Tại ngày 31 tháng 12 năm2025,14.788.552.188,33.752.596.762,48.541.148.950,14788552188.0,33752596762.0,48541148950.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Tại ngày 01 tháng 01 năm2025,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 01 tháng 01 năm2025,Tại ngày 01 tháng 01 năm2025,1.264.593.861,2.374.921.910,3.639.515.771,1264593861.0,2374921910.0,3639515771.0
Số tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số tăng trong năm,Số tăng trong năm,1.255.029.462,1.995.000.970,3.250.030.432,1255029462.0,1995000970.0,3250030432.0
Tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng trong năm,Tăng trong năm,1.255.029.462,1.995.000.970,3.250.030.432,1255029462.0,1995000970.0,3250030432.0
Số giảm trong năm,Số giảm trong năm,Số giảm trong năm,-,-,-,,,
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,,-,,,
Tại ngày 31 tháng 12 năm2025,Giảm trong năm > Tại ngày 31 tháng 12 năm2025,Tại ngày 31 tháng 12 năm2025,2.519.623.323,4.369.922.880,6.889.546.203,2519623323.0,4369922880.0,6889546203.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày 01 tháng 01 năm2025,GIÁ TRỊ CÒN LẠI > Tại ngày 01 tháng 01 năm2025,Tại ngày 01 tháng 01 năm2025,4.653.587.957,9.421.672.646,14.075.260.603,4653587957.0,9421672646.0,14075260603.0
Tại ngày 31 tháng 12 năm2025,GIÁ TRỊ CÒN LẠI > Tại ngày 31 tháng 12 năm2025,Tại ngày 31 tháng 12 năm2025,12.268.928.865,29.382.673.882,41.651.602.747,12268928865.0,29382673882.0,41651602747.0
