row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn CSH,Lợi nhuận chưa phân phối VND,Tổng cộng VND,numeric__Vốn đầu tư của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn CSH,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng cộng VND
Tại ngày 01.01.2024,Tại ngày 01.01.2024,Tại ngày 01.01.2024,3.293.503.510.000,(876.900.000),8.822.456.079,-,404.094.331.188,3.705.543.397.267,3293503510000.0,-876900000.0,8822456079.0,,404094331188.0,3705543397267.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,823.298.180.000,6.956.562.000,-,-,-,830.254.742.000,823298180000.0,6956562000.0,,,,830254742000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,197.451.166.791,197.451.166.791,,,,,197451166791.0,197451166791.0
Trả thù lao cho HĐQT và BKS,Trả thù lao cho HĐQT và BKS,Trả thù lao cho HĐQT và BKS,-,-,-,-,(1.908.000.000),(1.908.000.000),,,,,-1908000000.0,-1908000000.0
Trích quỹ khác thuộc vốn chủ sở hữu,Trích quỹ khác thuộc vốn chủ sở hữu,Trích quỹ khác thuộc vốn chủ sở hữu,-,-,-,1.739.172.300,(1.739.172.300),-,,,,1739172300.0,-1739172300.0,
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,205.753.590.000,-,-,-,(205.753.590.000),-,205753590000.0,,,,-205753590000.0,
Tại ngày 31.12.2024,Tại ngày 31.12.2024,Tại ngày 31.12.2024,4.322.555.280.000,6.079.662.000,8.822.456.079,1.739.172.300,392.144.735.679,4.731.341.306.058,4322555280000.0,6079662000.0,8822456079.0,1739172300.0,392144735679.0,4731341306058.0
Tại ngày 01.01.2025,Tại ngày 01.01.2025,Tại ngày 01.01.2025,4.322.555.280.000,6.079.662.000,8.822.456.079,1.739.172.300,392.144.735.679,4.731.341.306.058,4322555280000.0,6079662000.0,8822456079.0,1739172300.0,392144735679.0,4731341306058.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,415.000.000.000,(715.600.000),-,-,-,414.284.400.000,415000000000.0,-715600000.0,,,,414284400000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,285.878.169.147,285.878.169.147,,,,,285878169147.0,285878169147.0
Trích quỹ Đầu tư phát triển (1),Trích quỹ Đầu tư phát triển (1),Trích quỹ Đầu tư phát triển (1),-,-,5.000.000.000,-,(5.000.000.000),-,,,5000000000.0,,-5000000000.0,
Trích quỹ khác thuộc vốn chủ sở hữu (2),Trích quỹ khác thuộc vốn chủ sở hữu (2),Trích quỹ khác thuộc vốn chủ sở hữu (2),-,-,1.739.172.300,(1.739.172.300),-,-,,,1739172300.0,-1739172300.0,,
Chia cổ tức bằng cổ phiếu (3),Chia cổ tức bằng cổ phiếu (3),Chia cổ tức bằng cổ phiếu (3),236.774.750.000,-,-,-,(236.774.750.000),-,236774750000.0,,,,-236774750000.0,
Tại ngày 31.12.2025,Tại ngày 31.12.2025,Tại ngày 31.12.2025,4.974.330.030.000,5.364.062.000,15.561.628.379,-,436.248.154.826,5.431.503.875.205,4974330030000.0,5364062000.0,15561628379.0,,436248154826.0,5431503875205.0
