row_label_raw,row_label_full,col_0,Tại ngày31.12.2025VND,Phát sinh trong năm > Vay dài hạnđên hạn trả (*)VND,Phát sinh trong năm > TăngVND,Phát sinh trong năm > GiảmVND,Tại ngày01.01.2025VND,numeric__Tại ngày31.12.2025VND,numeric__Phát sinh trong năm > Vay dài hạnđên hạn trả (*)VND,numeric__Phát sinh trong năm > TăngVND,numeric__Phát sinh trong năm > GiảmVND,numeric__Tại ngày01.01.2025VND
Bên khác,Bên khác,Bên khác,450.741.050.821,19.498.488.678,1.046.119.292.209,824.913.767.615,210.037.037.549,450741050821.0,19498488678.0,1046119292209.0,824913767615.0,210037037549.0
Ngân hàng TMCP Công Thương Việt Nam - CN Đà Nẵng,Ngân hàng TMCP Công Thương Việt Nam - CN Đà Nẵng,Ngân hàng TMCP Công Thương Việt Nam - CN Đà Nẵng,249.314.788.307,1.562.526.176,423.478.335.836,282.159.527.316,106.433.453.611,249314788307.0,1562526176.0,423478335836.0,282159527316.0,106433453611.0
Ngân hàng TMCP Tiên Phong - CN Thăng Long Hà Nội,Ngân hàng TMCP Tiên Phong - CN Thăng Long Hà Nội,Ngân hàng TMCP Tiên Phong - CN Thăng Long Hà Nội,97.179.453.664,4.435.132.564,256.625.595.451,230.054.901.816,66.173.627.465,97179453664.0,4435132564.0,256625595451.0,230054901816.0,66173627465.0
Ngân hàng TMCP Việt Nam Thịnh Vương,Ngân hàng TMCP Việt Nam Thịnh Vương,Ngân hàng TMCP Việt Nam Thịnh Vương,90.745.978.912,-,366.015.360.922,305.424.251.735,30.154.869.725,90745978912.0,,366015360922.0,305424251735.0,30154869725.0
Công ty TNHH Cho thuê Tài Chính Quốc tế Việt Nam,Công ty TNHH Cho thuê Tài Chính Quốc tế Việt Nam,Công ty TNHH Cho thuê Tài Chính Quốc tế Việt Nam,4.171.446.540,4.171.446.540,-,-,-,4171446540.0,4171446540.0,,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Nam Hà Nội,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Nam Hà Nội,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - CN Nam Hà Nội,3.780.000.000,3.780.000.000,-,3.780.000.000,3.780.000.000,3780000000.0,3780000000.0,,3780000000.0,3780000000.0
Công ty Cho thuê Tài chính TNHH MTV Quốc tế Chailease,Công ty Cho thuê Tài chính TNHH MTV Quốc tế Chailease,Công ty Cho thuê Tài chính TNHH MTV Quốc tế Chailease,3.142.630.026,3.142.630.026,-,1.772.608.776,1.772.608.776,3142630026.0,3142630026.0,,1772608776.0,1772608776.0
Công ty Cho Thuê Tài Chính TNHH BIDV - Sumi Trust Chi nhánh Đà Nẵng,Công ty Cho Thuê Tài Chính TNHH BIDV - Sumi Trust Chi nhánh Đà Nẵng,Công ty Cho Thuê Tài Chính TNHH BIDV - Sumi Trust Chi nhánh Đà Nẵng,1.722.477.972,1.722.477.972,-,1.722.477.972,1.722.477.972,1722477972.0,1722477972.0,,1722477972.0,1722477972.0
Công ty TNHH Một Thành Viên Cho Thuê Tài Chính Ngân hàng Á Châu - Chi nhánh Đà Nẵng,Công ty TNHH Một Thành Viên Cho Thuê Tài Chính Ngân hàng Á Châu - Chi nhánh Đà Nẵng,Công ty TNHH Một Thành Viên Cho Thuê Tài Chính Ngân hàng Á Châu - Chi nhánh Đà Nẵng,684.275.400,684.275.400,-,-,-,684275400.0,684275400.0,,,
Cộng,Cộng,Cộng,450.741.050.821,19.498.488.678,1.046.119.292.209,824.913.767.615,210.037.037.549,450741050821.0,19498488678.0,1046119292209.0,824913767615.0,210037037549.0
