row_label_raw,row_label_full,col_0,col_1,Năm tài chínhkết thúc ngày 31 tháng 12 năm,Năm tài chínhkết thúc ngày 31 tháng 12 năm_1,numeric__col_1,numeric__Năm tài chínhkết thúc ngày 31 tháng 12 năm,numeric__Năm tài chínhkết thúc ngày 31 tháng 12 năm_1
,,,,2025VND,2024VND,,,
Tiền lương,Tiền lương,Tiền lương,,4.179.830.699,4.287.400.000,,4179830699.0,4287400000.0
Nguyễn Quang Huy,Nguyễn Quang Huy,Nguyễn Quang Huy,Tổng giám đốc,350.000.000,910.000.000,,350000000.0,910000000.0
Ngo Trường Nam,Ngo Trường Nam,Ngo Trường Nam,Tổng giám đốc,735.000.000,140.000.000,,735000000.0,140000000.0
Trần Văn Chí,Trần Văn Chí,Trần Văn Chí,Phó Tổng giám đốc,715.000.000,715.000.000,,715000000.0,715000000.0
Võ Ngọc Trung,Võ Ngọc Trung,Võ Ngọc Trung,Phó Tổng giám đốc,520.000.000,520.000.000,,520000000.0,520000000.0
Lê Châu Thắng,Lê Châu Thắng,Lê Châu Thắng,Phó Tổng giám đốc,494.000.000,482.000.000,,494000000.0,482000000.0
Trần Văn Dũng,Trần Văn Dũng,Trần Văn Dũng,Phó Tổng giám đốc,559.000.000,547.000.000,,559000000.0,547000000.0
Nguyễn Quỳnh Mai,Nguyễn Quỳnh Mai,Nguyễn Quỳnh Mai,Phó Tổng giám đốc,296.439.394,455.000.000,,296439394.0,455000000.0
Nguyễn Văn Ân,Nguyễn Văn Ân,Nguyễn Văn Ân,Phó Tổng giám đốc,215.652.174,518.400.000,,215652174.0,518400000.0
Lê Công Nghĩa,Lê Công Nghĩa,Lê Công Nghĩa,Kế toán trường,294.739.131,-,,294739131.0,
