row_label_raw,row_label_full,col_0,Vận hành các trạm thu phí VND,Hoạt động xây lắp VND,Dịch vụ trung chuyển VND,"Duy tu bảo dưỡng cầu, đường VND",Hoạt động khác VND,Tổng cộng VND,numeric__Vận hành các trạm thu phí VND,numeric__Hoạt động xây lắp VND,numeric__Dịch vụ trung chuyển VND,"numeric__Duy tu bảo dưỡng cầu, đường VND",numeric__Hoạt động khác VND,numeric__Tổng cộng VND
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,36.611.273.156,1.390.447.902.661,21.506.544.378,489.580.664.051,156.540.523.057,2.094.686.907.303,36611273156.0,1390447902661.0,21506544378.0,489580664051.0,156540523057.0,2094686907303.0
Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,36.611.273.156,1.390.447.902.661,21.506.544.378,489.580.664.051,156.540.523.057,2.094.686.907.303,36611273156.0,1390447902661.0,21506544378.0,489580664051.0,156540523057.0,2094686907303.0
Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,13.519.952.294,133.271.944.516,7.222.369.353,184.315.172.344,19.881.729.367,358.211.167.874,13519952294.0,133271944516.0,7222369353.0,184315172344.0,19881729367.0,358211167874.0
Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,(52.782.955.475),,,,,,-52782955475.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,305.428.212.399,,,,,,305428212399.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,73.257.452.050,,,,,,73257452050.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,(28.626.077.128),,,,,,-28626077128.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,3.876.189.214,,,,,,3876189214.0
Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,(465.085.094),,,,,,-465085094.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,(67.592.522.294),,,,,,-67592522294.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,285.878.169.147,,,,,,285878169147.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,(46.759.428.721),,,,,,-46759428721.0
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,(25.101.816.934),,,,,,-25101816934.0
