row_label_raw,row_label_full,col_0,Năm tài chính > kết thúc ngày 31 tháng 12 năm > 2025,Năm tài chính > kết thúc ngày 31 tháng 12 năm > 2024,numeric__Năm tài chính > kết thúc ngày 31 tháng 12 năm > 2025,numeric__Năm tài chính > kết thúc ngày 31 tháng 12 năm > 2024
,,,VND,VND,,
Lãi tiền vay,Lãi tiền vay,Lãi tiền vay,28.626.077.128,17.784.714.733,28626077128.0,17784714733.0
Cộng,Cộng,Cộng,28.626.077.128,17.784.714.733,28626077128.0,17784714733.0
