row_label_raw,row_label_full,Mãsố,col_1,Thuyếtminh,Năm tài chínhkết thúc ngày 31 tháng 12 năm,Năm tài chínhkết thúc ngày 31 tháng 12 năm_1,numeric__col_1,numeric__Thuyếtminh,numeric__Năm tài chínhkết thúc ngày 31 tháng 12 năm,numeric__Năm tài chínhkết thúc ngày 31 tháng 12 năm_1
Mãsố,Mãsố,Mãsố,,Thuyếtminh,2025VND,2024VND,,,,
,,,LU'U CHUYÊN TIÊN TỪ HOẠTĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠTĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠTĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠTĐỘNG KINH DOANH,,,,
01,Mãsố > 01,01,Lợi nhuận kế toán trước thuếĐiều chỉnh cho các khoản:,,353.470.691.441,250.925.651.037,,,353470691441.0,250925651037.0
02,Mãsố > 02,02,Khấu hao tài sản cố định,,25.101.816.934,20.818.512.149,,,25101816934.0,20818512149.0
05,Mãsố > 05,05,Lãi từ hoạt động đầu tư,,(76.988.299.519),(54.844.983.471),,,-76988299519.0,-54844983471.0
06,Mãsố > 06,06,Chi phí lãi vay,,28.626.077.128,17.784.714.733,,,28626077128.0,17784714733.0
08,Mãsố > 08,08,Lợi nhuận từ hoạt động kinhdoanh trước những thay đõivốn lưu động,,330.210.285.984,234.683.894.448,,,330210285984.0,234683894448.0
09,Mãsố > 09,09,Tăng các khoản phải thu,,(122.310.171.644),(345.904.468.033),,,-122310171644.0,-345904468033.0
10,Mãsố > 10,10,Giảm hàng tồn kho,,22.800.024.921,9.575.479.708,,,22800024921.0,9575479708.0
11,Mãsố > 11,11,"Tăng các khoản phải trả [khôngkế lãi vay phải trả, thuế TNDNphải nộp]",,344.629.206.216,74.369.245.704,,,344629206216.0,74369245704.0
12,Mãsố > 12,12,Giảm chi phí trả trước,,195.600.599,1.268.124.196,,,195600599.0,1268124196.0
14,Mãsố > 14,14,Tiền lãi vay đã trả,,(28.569.764.310),(18.725.321.320),,,-28569764310.0,-18725321320.0
15,Mãsố > 15,15,Thuế thu nhập doanh nghiệp đãnộp,,(49.348.516.110),(46.963.438.756),,,-49348516110.0,-46963438756.0
20,Mãsố > 20,20,Lưu chuyển tiền thuần từhoạt động kinh doanh,,497.606.665.656,(91.696.484.053),,,497606665656.0,-91696484053.0
,,,LU'U CHUYÊN TIÊN TỪ HOẠTĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠTĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠTĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠTĐỘNG ĐẦU TƯ,,,,
21,Mãsố > 21,21,"Chi để mua sắm, xây dựngTSCĐ và các tài sản dài hạnkhác",,(46.759.428.721),(25.906.053.995),,,-46759428721.0,-25906053995.0
22,Mãsố > 22,22,"Thu từ thanh lý, nhượng bánTSCĐ và tài sản dài hạn khác",,8.300.000.000,30.000.000,,,8300000000.0,30000000.0
23,Mãsố > 23,23,"Chi cho vay, mua các công cụnợ của đơn vị khác",,(9.734.581.028),(455.906.389.990),,,-9734581028.0,-455906389990.0
24,Mãsố > 24,24,"Thu hồi cho vay, bán lại cáccông cụ nợ của đơn vị khác",,600.000.000,29.700.000.000,,,600000000.0,29700000000.0
25,Mãsố > 25,25,Chi đầu tư góp vốn vào đơn vịkhác,,(1.010.515.272.861),(327.179.109.206),,,-1010515272861.0,-327179109206.0
26,Mãsố > 26,26,Thu hồi đầu tư góp vốn vàođơn vị khác,,116.374.172.067,80.916.000.000,,,116374172067.0,80916000000.0
27,Mãsố > 27,27,"Thu lãi cho vay, cổ tức và lợinhuyện được chia",,26.458.220.592,15.533.455.744,,,26458220592.0,15533455744.0
30,Mãsố > 30,30,Lưu chuyển tiền thuần từhoạt động đầu tư,,(915.276.889.951),(682.812.097.447),,,-915276889951.0,-682812097447.0
