row_label_raw,row_label_full,col_0,31.12.2025 > Giá trị VND,31.12.2025 > Số có khả năng trả nợ VND,01.01.2025 > Giá trị VND,01.01.2025 > Số có khả năng trả nợ VND,numeric__31.12.2025 > Giá trị VND,numeric__31.12.2025 > Số có khả năng trả nợ VND,numeric__01.01.2025 > Giá trị VND,numeric__01.01.2025 > Số có khả năng trả nợ VND
Bên liên quan,Bên liên quan,Bên liên quan,66.446.681.723,66.446.681.723,38.830.916.619,38.830.916.619,66446681723.0,66446681723.0,38830916619.0,38830916619.0
Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,31.647.657.478,31.647.657.478,17.850.311.355,17.850.311.355,31647657478.0,31647657478.0,17850311355.0,17850311355.0
Công ty Cổ phần Tập đoàn Đẻo Cả,Công ty Cổ phần Tập đoàn Đẻo Cả,Công ty Cổ phần Tập đoàn Đẻo Cả,24.690.701.270,24.690.701.270,9.117.243.624,9.117.243.624,24690701270.0,24690701270.0,9117243624.0,9117243624.0
Công ty Cổ phần An Ninh Đẻo Cả,Công ty Cổ phần An Ninh Đẻo Cả,Công ty Cổ phần An Ninh Đẻo Cả,5.134.095.495,5.134.095.495,11.863.361.640,11.863.361.640,5134095495.0,5134095495.0,11863361640.0,11863361640.0
Công ty Cổ phần Quản lý và Khai thác đường Cao tốc Đẻo Cả,Công ty Cổ phần Quản lý và Khai thác đường Cao tốc Đẻo Cả,Công ty Cổ phần Quản lý và Khai thác đường Cao tốc Đẻo Cả,4.974.227.480,4.974.227.480,-,-,4974227480.0,4974227480.0,,
Bên khác,Bên khác,Bên khác,259.057.644.446,259.057.644.446,169.947.844.245,169.947.844.245,259057644446.0,259057644446.0,169947844245.0,169947844245.0
Tổng Công ty Đầu tư xây dựng Hoàng Long - Công ty Cổ phần,Tổng Công ty Đầu tư xây dựng Hoàng Long - Công ty Cổ phần,Tổng Công ty Đầu tư xây dựng Hoàng Long - Công ty Cổ phần,38.902.876.698,38.902.876.698,-,-,38902876698.0,38902876698.0,,
Công ty Cổ phần Xây dựng Đẻo Cả,Công ty Cổ phần Xây dựng Đẻo Cả,Công ty Cổ phần Xây dựng Đẻo Cả,25.014.018.606,25.014.018.606,41.160.319.411,41.160.319.411,25014018606.0,25014018606.0,41160319411.0,41160319411.0
Công ty TNHH Xây dựng Đồng Khánh,Công ty TNHH Xây dựng Đồng Khánh,Công ty TNHH Xây dựng Đồng Khánh,14.325.259.079,14.325.259.079,2.150.775.132,2.150.775.132,14325259079.0,14325259079.0,2150775132.0,2150775132.0
Công ty Cổ phần Đầu tư Phát triển Đô thị và Khu công nghiệp,Công ty Cổ phần Đầu tư Phát triển Đô thị và Khu công nghiệp,Công ty Cổ phần Đầu tư Phát triển Đô thị và Khu công nghiệp,10.150.796.936,10.150.796.936,-,-,10150796936.0,10150796936.0,,
Công Ty Cổ phần Tập Đoàn Trí Nam,Công Ty Cổ phần Tập Đoàn Trí Nam,Công Ty Cổ phần Tập Đoàn Trí Nam,8.151.710.240,8.151.710.240,10.151.710.240,10.151.710.240,8151710240.0,8151710240.0,10151710240.0,10151710240.0
Công ty Cổ phần HAWEE Sản xuất và Thương mại,Công ty Cổ phần HAWEE Sản xuất và Thương mại,Công ty Cổ phần HAWEE Sản xuất và Thương mại,7.531.864.192,7.531.864.192,-,-,7531864192.0,7531864192.0,,
Công ty TNHH Xây dựng Hạ tầng Nam Trung,Công ty TNHH Xây dựng Hạ tầng Nam Trung,Công ty TNHH Xây dựng Hạ tầng Nam Trung,6.275.980.862,6.275.980.862,3.015.592.178,3.015.592.178,6275980862.0,6275980862.0,3015592178.0,3015592178.0
Công ty Cổ phần tập đoàn Đầu tư xây dựng bất động sản Á Châu,Công ty Cổ phần tập đoàn Đầu tư xây dựng bất động sản Á Châu,Công ty Cổ phần tập đoàn Đầu tư xây dựng bất động sản Á Châu,5.282.078.052,5.282.078.052,-,-,5282078052.0,5282078052.0,,
Công ty Cổ phần Thương mại và Dịch vụ Giao thông Việt Nam,Công ty Cổ phần Thương mại và Dịch vụ Giao thông Việt Nam,Công ty Cổ phần Thương mại và Dịch vụ Giao thông Việt Nam,4.526.556.389,4.526.556.389,-,-,4526556389.0,4526556389.0,,
Công ty Cổ phần Thương mại và Dịch vụ Thép Nam Phát,Công ty Cổ phần Thương mại và Dịch vụ Thép Nam Phát,Công ty Cổ phần Thương mại và Dịch vụ Thép Nam Phát,4.432.150.201,4.432.150.201,-,-,4432150201.0,4432150201.0,,
Công ty TNHH Đồng Thuận Hà,Công ty TNHH Đồng Thuận Hà,Công ty TNHH Đồng Thuận Hà,4.406.937.064,4.406.937.064,5.637.815.046,5.637.815.046,4406937064.0,4406937064.0,5637815046.0,5637815046.0
Đối tượng khác,Đối tượng khác,Đối tượng khác,130.057.416.127,130.057.416.127,107.831.632.238,107.831.632.238,130057416127.0,130057416127.0,107831632238.0,107831632238.0
Cộng,Cộng,Cộng,325.504.326.169,325.504.326.169,208.778.760.864,208.778.760.864,325504326169.0,325504326169.0,208778760864.0,208778760864.0
