row_label_raw,row_label_full,Mã số,TÀI SẢN (tiếp theo),Thuyết minh,Tại ngày > 31.12.2025 VND,Tại ngày > 01.01.2025 VND,numeric__TÀI SẢN (tiếp theo),numeric__Thuyết minh,numeric__Tại ngày > 31.12.2025 VND,numeric__Tại ngày > 01.01.2025 VND
200,200,200,TÀI SẢN DÀI HẠN,,5.434.028.296.116,4.613.426.535.437,,,5434028296116.0,4613426535437.0
210,210,210,Các khoản phải thu dài hạn,,283.600.672.569,617.182.836.267,,,283600672569.0,617182836267.0
211,211,211,Phải thu dài hạn của khách hàng,V.3b,3.094.427.531,3.094.427.531,,,3094427531.0,3094427531.0
212,212,212,Trả trước cho người bán dài hạn,V.4b,158.149.293.779,100.000.000.000,,,158149293779.0,100000000000.0
216,216,216,Phải thu dài hạn khác,V.6b,122.356.951.259,514.088.408.736,,,122356951259.0,514088408736.0
220,220,220,Tài sản cố định,,239.938.674.025,147.423.843.328,,,239938674025.0,147423843328.0
221,221,221,Tài sản cố định hữu hình,V.10,190.696.713.844,133.002.699.248,,,190696713844.0,133002699248.0
222,222,222,Nguyên giá,,316.448.960.495,239.026.871.787,,,316448960495.0,239026871787.0
223,223,223,Giá trị khấu hao lũy kế,,(125.752.246.651),(106.024.172.539),,,-125752246651.0,-106024172539.0
224,224,224,Tài sản cố định thuê tài chính,V.11,41.651.602.747,14.075.260.603,,,41651602747.0,14075260603.0
225,225,225,Nguyên giá,,48.541.148.950,17.714.776.374,,,48541148950.0,17714776374.0
226,226,226,Giá trị khấu hao lũy kế,,(6.889.546.203),(3.639.515.771),,,-6889546203.0,-3639515771.0
227,227,227,Tài sản cố định vô hình,V.12,7.590.357.434,345.883.477,,,7590357434.0,345883477.0
228,228,228,Nguyên giá,,7.669.274.113,476.603.041,,,7669274113.0,476603041.0
229,229,229,Giá trị khấu hao lũy kế,,(78.916.679),(130.719.564),,,-78916679.0,-130719564.0
240,240,240,Tài sản dở dang dài hạn,,3.376.113.479,11.075.924.963,,,3376113479.0,11075924963.0
242,242,242,Chi phí xây dựng cơ bản dở dang,V.13,3.376.113.479,11.075.924.963,,,3376113479.0,11075924963.0
250,250,250,Đầu tư tài chính dài hạn,,4.905.450.240.000,3.835.301.040.000,,,4905450240000.0,3835301040000.0
251,251,251,Đầu tư vào công ty con,V.2b,3.206.897.040.000,3.126.897.040.000,,,3206897040000.0,3126897040000.0
252,252,252,"Đầu tư vào công ty liên doanh, liên kết",V.2b,771.053.200.000,578.904.000.000,,,771053200000.0,578904000000.0
253,253,253,Đầu tư góp vốn vào đơn vị khác,V.2c,927.500.000.000,127.500.000.000,,,927500000000.0,127500000000.0
255,255,255,Đầu tư nắm giữ đến ngày đáo hạn,V.2a,-,2.000.000.000,,,,2000000000.0
260,260,260,Tài sản dài hạn khác,,1.662.596.043,2.442.890.879,,,1662596043.0,2442890879.0
261,261,261,Chi phí trả trước dài hạn,V.9b,1.662.596.043,2.442.890.879,,,1662596043.0,2442890879.0
270,270,270,TỔNG TÀI SẢN,,7.562.722.280.820,6.174.503.367.628,,,7562722280820.0,6174503367628.0
