row_label_raw,row_label_full,Công ty cổ phần ECLIPSE Việt Nam > Tổng công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam,31/12/2023VND > 347.274.962.200 > 238.625.959.991,01/01/2023VND > 22.999.962.200 > 168.399.991,numeric__31/12/2023VND > 347.274.962.200 > 238.625.959.991,numeric__01/01/2023VND > 22.999.962.200 > 168.399.991
Công ty Cổ phần xây dựng HP Thăng Long,Công ty Cổ phần xây dựng HP Thăng Long,Công ty Cổ phần xây dựng HP Thăng Long,340.034.210.082,-,340034210082.0,
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,22.359.570.542,28.994.168.749,22359570542.0,28994168749.0
Tổng,Tổng,Tổng,948.294.702.815,52.162.530.940,948294702815.0,52162530940.0
