row_label_raw,row_label_full,col_0,01/01/2023,Số phải nộp trong năm,Số đã nộp trong năm,31/12/2023,numeric__01/01/2023,numeric__Số phải nộp trong năm,numeric__Số đã nộp trong năm,numeric__31/12/2023
Phải nộp,Phải nộp,Phải nộp,80.433.123.510,98.779.558.440,93.121.978.370,86.090.703.580,80433123510.0,98779558440.0,93121978370.0,86090703580.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,34.122.743.305,40.897.277.576,41.779.229.011,33.240.791.870,34122743305.0,40897277576.0,41779229011.0,33240791870.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,43.758.174.005,43.374.843.938,39.273.201.493,47.859.816.450,43758174005.0,43374843938.0,39273201493.0,47859816450.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,2.552.206.200,6.216.692.266,3.778.803.206,4.990.095.260,2552206200.0,6216692266.0,3778803206.0,4990095260.0
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",-,170.571.511,170.571.511,-,,170571511.0,170571511.0,
"Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác",-,8.120.173.149,8.120.173.149,-,,8120173149.0,8120173149.0,
