row_label_raw,row_label_full,col_0,Phần mềm máy vi tính,Tổng,numeric__Phần mềm máy vi tính,numeric__Tổng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,
Số dư tại 01/01/2023,NGUYÊN GIÁ > Số dư tại 01/01/2023,Số dư tại 01/01/2023,30.000.000,30.000.000,30000000.0,30000000.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,-,,
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,,
Số dư tại 31/12/2023,Giảm trong năm > Số dư tại 31/12/2023,Số dư tại 31/12/2023,30.000.000,30.000.000,30000000.0,30000000.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,
Số dư tại 01/01/2023,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 01/01/2023,Số dư tại 01/01/2023,30.000.000,30.000.000,30000000.0,30000000.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,-,,
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,,
Số dư tại 31/12/2023,Giảm trong năm > Số dư tại 31/12/2023,Số dư tại 31/12/2023,30.000.000,30.000.000,30000000.0,30000000.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,
Tại 01/01/2023,Tại 01/01/2023,Tại 01/01/2023,-,-,,
Tại 31/12/2023,Tại 31/12/2023,Tại 31/12/2023,-,-,,
