row_label_raw,row_label_full,Biên liên quan,Tính chất giao dịch,31/12/2023VND,01/01/2023VND,numeric__Tính chất giao dịch,numeric__31/12/2023VND,numeric__01/01/2023VND
1. Phải thu khách hàng,1. Phải thu khách hàng,1. Phải thu khách hàng,,3.193.139.276,722.319.276,,3193139276.0,722319276.0
Công ty Heritage,Công ty Heritage,Công ty Heritage,Phải thu từ cung cấp dịch vụ,722.319.276,722.319.276,,722319276.0,722319276.0
Công ty Hải Phát Retail,Công ty Hải Phát Retail,Công ty Hải Phát Retail,Phải thu doanh thu BĐS,2.470.820.000,-,,2470820000.0,
2. Phải trả người bán,2. Phải trả người bán,2. Phải trả người bán,,23.798.049.758,28.222.447.432,,23798049758.0,28222447432.0
Công ty PSP,Công ty PSP,Công ty PSP,Phải trả phí dịch vụ,8.847.482.545,9.389.590.544,,8847482545.0,9389590544.0
Công ty Hải Phát Retail,Công ty Hải Phát Retail,Công ty Hải Phát Retail,Phải trả phí dịch vụ,8.158.185.814,6.018.115.007,,8158185814.0,6018115007.0
Công ty Hải Phát-Bình Thuận,Công ty Hải Phát-Bình Thuận,Công ty Hải Phát-Bình Thuận,Phải trả theo hợp đồng chuyển nhượng quyền sử dụng đất,298.141.420,397.613.050,,298141420.0,397613050.0
Công ty Hải Phát Land (*),Công ty Hải Phát Land (*),Công ty Hải Phát Land (*),Phải trả phí dịch vụ môi giới,-,1.616.755.280,,,1616755280.0
Công ty TOPAZ,Công ty TOPAZ,Công ty TOPAZ,Phải trả phí dịch vụ tư vấn,1.261.156.915,1.167.185.774,,1261156915.0,1167185774.0
Công ty DIAMOND IC,Công ty DIAMOND IC,Công ty DIAMOND IC,Phải trả phí dịch vụ tư vấn,3.777.587.952,6.038.869.015,,3777587952.0,6038869015.0
Công ty Phúc Thành,Công ty Phúc Thành,Công ty Phúc Thành,Phải trả tiền xây lắp,1.289.861.992,2.850.988.212,,1289861992.0,2850988212.0
Công ty Địa Ốc Hải Phát (*),Công ty Địa Ốc Hải Phát (*),Công ty Địa Ốc Hải Phát (*),Phải trả phí dịch vụ môi giới,-,743.330.550,,,743330550.0
Công ty ANTV,Công ty ANTV,Công ty ANTV,Phải trả phí dịch vụ,165.633.120,-,,165633120.0,
3. Phải thu khác,3. Phải thu khác,3. Phải thu khác,,167.036.600.000,757.301.007.285,,167036600000.0,757301007285.0
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,,36.600.000,260.301.007.285,,36600000.0,260301007285.0
Công ty Hải Phát Land (*),Công ty Hải Phát Land (*),Công ty Hải Phát Land (*),Cổ tức phải thu,-,9.301.007.285,,,9301007285.0
Công ty Hải Phát Land (*),Công ty Hải Phát Land (*),Công ty Hải Phát Land (*),Phải thu theo biên bản thỏa thuận hợp tác đầu tư,-,251.000.000.000,,,251000000000.0
Công ty Mai Pha,Công ty Mai Pha,Công ty Mai Pha,Phải thu khác,36.600.000,-,,36600000.0,
b. Dài hạn,b. Dài hạn,b. Dài hạn,,167.000.000.000,497.000.000.000,,167000000000.0,497000000000.0
Công ty Hải Phát Land (*),Công ty Hải Phát Land (*),Công ty Hải Phát Land (*),Phải thu theo biên bản thỏa thuận hợp tác đầu tư,-,300.000.000.000,,,300000000000.0
Công ty Cienco 5,Công ty Cienco 5,Công ty Cienco 5,Phải thu theo biên bản thỏa thuận hợp tác đầu tư,167.000.000.000,197.000.000.000,,167000000000.0,197000000000.0
4. Phải trả khác,4. Phải trả khác,4. Phải trả khác,,1.702.945.529.135,946.737.901.154,,1702945529135.0,946737901154.0
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,,1.508.995.468.344,830.567.628.972,,1508995468344.0,830567628972.0
Công ty HPH Nha Trang,Công ty HPH Nha Trang,Công ty HPH Nha Trang,Phải trả tiền quản lý tập trung,535.098.147,12.123.391.227,,535098147.0,12123391227.0
Công ty Hải Phát Retail,Công ty Hải Phát Retail,Công ty Hải Phát Retail,Phải trả tiền quản lý tập trung,649.065.011.063,309.151.807.432,,649065011063.0,309151807432.0
Công ty Hải Phát-Bình Thuận,Công ty Hải Phát-Bình Thuận,Công ty Hải Phát-Bình Thuận,Phải trả tiền quản lý tập trung,530.634.176.728,383.104.932.578,,530634176728.0,383104932578.0
Công ty Hải Phát Land (*),Công ty Hải Phát Land (*),Công ty Hải Phát Land (*),Phải trả tiền quản lý tập trung,-,64.141.711.123,,,64141711123.0
Công ty Ruby,Công ty Ruby,Công ty Ruby,Phải trả tiền quản lý tập trung,164.617.840.771,17.094.533.178,,164617840771.0,17094533178.0
Công ty Heritage,Công ty Heritage,Công ty Heritage,Phải trả tiền quản lý tập trung,68.006.521.000,8.820.000.000,,68006521000.0,8820000000.0
Công ty Sapphire,Công ty Sapphire,Công ty Sapphire,Phải trả tiền quản lý tập trung,92.988.605.068,28.117.044.273,,92988605068.0,28117044273.0
Công ty TOPAZ PM,Công ty TOPAZ PM,Công ty TOPAZ PM,Phải trả tiền quản lý tập trung,2.981.117.056,7.122.920.840,,2981117056.0,7122920840.0
Công ty DIAMOND IC,Công ty DIAMOND IC,Công ty DIAMOND IC,Phải trả tiền quản lý tập trung,167.098.511,861.288.321,,167098511.0,861288321.0
Công ty PSP,Công ty PSP,Công ty PSP,Đặt cọc tiền quản lý vận hành,-,30.000.000,,,30000000.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,,193.950.060.791,116.170.272.182,,193950060791.0,116170272182.0
Công ty Hải Phát Retail,Công ty Hải Phát Retail,Công ty Hải Phát Retail,Phải trả theo thỏa thuận HTĐT,193.950.060.791,116.170.272.182,,193950060791.0,116170272182.0
