row_label_raw,row_label_full,col_0,NGUỒN VỐN,MS,TM,31/12/2023VND,01/01/2023VND,numeric__NGUỒN VỐN,numeric__MS,numeric__TM,numeric__31/12/2023VND,numeric__01/01/2023VND
C-,C-,C-,NỘ PHẢI TRẢ (300 = 310+330),300,,5.869.811.190.953,6.343.326.412.501,,300.0,,5869811190953.0,6343326412501.0
I.,I.,I.,Nợ ngắn hạn,310,,4.965.841.029.604,4.155.052.374.778,,310.0,,4965841029604.0,4155052374778.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,5.16,312.466.525.940,204.942.837.994,,311.0,516.0,312466525940.0,204942837994.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,5.17,368.240.342.090,892.669.134.918,,312.0,517.0,368240342090.0,892669134918.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,5.18,86.090.703.580,80.433.123.510,,313.0,518.0,86090703580.0,80433123510.0
4.,4.,4.,Phải trả người lao động,314,,4.571.061.519,2.351.932.573,,314.0,,4571061519.0,2351932573.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,5.19,169.044.986.331,57.183.996.872,,315.0,519.0,169044986331.0,57183996872.0
8.,8.,8.,Doanh thu chưa thực hiện ngắn hạn,318,5.20,6.712.096.638,11.885.190.083,,318.0,520.0,6712096638.0,11885190083.0
9.,9.,9.,Phải trả ngắn hạn khác,319,5.21,2.187.581.544.707,1.585.943.068.537,,319.0,521.0,2187581544707.0,1585943068537.0
10.,10.,10.,Vay và nợ thuê tài chính ngắn hạn,320,5.22,1.776.660.903.419,1.264.891.682.911,,320.0,522.0,1776660903419.0,1264891682911.0
12.,12.,12.,Quỹ khen thưởng phúc lợi,322,,54.472.865.380,54.751.407.380,,322.0,,54472865380.0,54751407380.0
II.,II.,II.,Nợ dài hạn,330,,903.970.161.349,2.188.274.037.723,,330.0,,903970161349.0,2188274037723.0
7.,7.,7.,Phải trả dài hạn khác,337,5.21,370.988.615.492,293.208.826.883,,337.0,521.0,370988615492.0,293208826883.0
8.,8.,8.,Vay và nợ thuê tài chính dài hạn,338,5.22,532.981.545.857,1.895.065.210.840,,338.0,522.0,532981545857.0,1895065210840.0
D-,D-,D-,VỐN CHỦ SỞ HỮU(400 = 410),400,,3.334.976.898.677,3.275.780.205.542,,400.0,,3334976898677.0,3275780205542.0
I-,I-,I-,Vốn chủ sở hữu,410,5.23,3.334.976.898.677,3.275.780.205.542,,410.0,523.0,3334976898677.0,3275780205542.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,3.041.685.810.000,3.041.685.810.000,,411.0,,3041685810000.0,3041685810000.0
,,,Cổ phiếu phổ thông có quyềnbiểu quyết,411a,,3.041.685.810.000,3.041.685.810.000,,,,3041685810000.0,3041685810000.0
2.,2.,2.,Thặng dư vốn cổ phần,412,,60.986.800.000,60.986.800.000,,412.0,,60986800000.0,60986800000.0
10.,10.,10.,Lợi nhuận sau thuế chưa phân phối,421,,232.304.288.677,173.107.595.542,,421.0,,232304288677.0,173107595542.0
,,,LNST chưa phân phối lũy kếđến cuối kỳ trước,421a,,173.107.595.542,169.262.583.267,,,,173107595542.0,169262583267.0
,,,LNST chưa phân phối kỳ này,421b,,59.196.693.135,3.845.012.275,,,,59196693135.0,3845012275.0
TỔNG CỘNG NGUỒN VỐN(440 = 300+400),TỔNG CỘNG NGUỒN VỐN(440 = 300+400),TỔNG CỘNG NGUỒN VỐN(440 = 300+400),TỔNG CỘNG NGUỒN VỐN(440 = 300+400),440,,9.204.788.089.630,9.619.106.618.043,,440.0,,9204788089630.0,9619106618043.0
