row_label_raw,row_label_full,col_0,31/12/2023 > Giá trị,31/12/2023 > Số có khả năng trả nợ,Phát sinh trong năm > Tăng,Phát sinh trong năm > Giảm,01/01/2023 > Giá trị,01/01/2023 > Số có khả năng trả nợ,numeric__31/12/2023 > Giá trị,numeric__31/12/2023 > Số có khả năng trả nợ,numeric__Phát sinh trong năm > Tăng,numeric__Phát sinh trong năm > Giảm,numeric__01/01/2023 > Giá trị,numeric__01/01/2023 > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,1.776.660.903.419,1.776.660.903.419,2.136.790.744.156,1.625.021.523.648,1.264.891.682.911,1.264.891.682.911,1776660903419.0,1776660903419.0,2136790744156.0,1625021523648.0,1264891682911.0,1264891682911.0
Vay ngân hàng (1),Vay ngân hàng (1),Vay ngân hàng (1),461.173.653.882,461.173.653.882,753.468.159.813,464.770.714.232,172.476.208.301,172.476.208.301,461173653882.0,461173653882.0,753468159813.0,464770714232.0,172476208301.0,172476208301.0
Vay ngân hàng ngắn hạn,Vay ngân hàng ngắn hạn,Vay ngân hàng ngắn hạn,350.582.560.000,350.582.560.000,354.940.181.000,12.998.869.000,8.641.248.000,8.641.248.000,350582560000.0,350582560000.0,354940181000.0,12998869000.0,8641248000.0,8641248000.0
Vay dài hạn ngân hàng đến hạn trả,Vay dài hạn ngân hàng đến hạn trả,Vay dài hạn ngân hàng đến hạn trả,110.591.093.882,110.591.093.882,398.527.978.813,451.771.845.232,163.834.960.301,163.834.960.301,110591093882.0,110591093882.0,398527978813.0,451771845232.0,163834960301.0,163834960301.0
Trái phiếu ngắn hạn (2),Trái phiếu ngắn hạn (2),Trái phiếu ngắn hạn (2),248.808.000.000,248.808.000.000,164.705.883,520.692.000.000,769.335.294.117,769.335.294.117,248808000000.0,248808000000.0,164705883.0,520692000000.0,769335294117.0,769335294117.0
Trái phiếu dài hạn đến hạn trả (2),Trái phiếu dài hạn đến hạn trả (2),Trái phiếu dài hạn đến hạn trả (2),743.880.127.619,743.880.127.619,1.029.038.947.126,540.000.000.000,254.841.180.493,254.841.180.493,743880127619.0,743880127619.0,1029038947126.0,540000000000.0,254841180493.0,254841180493.0
Tổng công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam (3),Tổng công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam (3),Tổng công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam (3),222.420.821.918,222.420.821.918,172.420.821.918,-,50.000.000.000,50.000.000.000,222420821918.0,222420821918.0,172420821918.0,,50000000000.0,50000000000.0
Vay cá nhân (4),Vay cá nhân (4),Vay cá nhân (4),100.378.300.000,100.378.300.000,120.550.109.416,38.410.809.416,18.239.000.000,18.239.000.000,100378300000.0,100378300000.0,120550109416.0,38410809416.0,18239000000.0,18239000000.0
Công ty Cổ phần Đầu tư xây dựng và thương mại Thành Nhân,Công ty Cổ phần Đầu tư xây dựng và thương mại Thành Nhân,Công ty Cổ phần Đầu tư xây dựng và thương mại Thành Nhân,-,-,61.148.000.000,61.148.000.000,-,-,,,61148000000.0,61148000000.0,,
Vay dài hạn,Vay dài hạn,Vay dài hạn,532.981.545.857,532.981.545.857,68.035.095.299,1.430.118.760.282,1.895.065.210.840,1.895.065.210.840,532981545857.0,532981545857.0,68035095299.0,1430118760282.0,1895065210840.0,1895065210840.0
Vay ngân hàng (1),Vay ngân hàng (1),Vay ngân hàng (1),34.965.129.988,34.965.129.988,60.966.157.000,398.527.978.813,372.526.951.801,372.526.951.801,34965129988.0,34965129988.0,60966157000.0,398527978813.0,372526951801.0,372526951801.0
Trái phiếu (2),Trái phiếu (2),Trái phiếu (2),498.016.415.869,498.016.415.869,7.068.938.299,1.031.590.781.469,1.522.538.259.039,1.522.538.259.039,498016415869.0,498016415869.0,7068938299.0,1031590781469.0,1522538259039.0,1522538259039.0
Tổng,Tổng,Tổng,2.309.642.449.276,2.309.642.449.276,2.204.825.839.455,3.055.140.283.930,3.159.956.893.751,3.159.956.893.751,2309642449276.0,2309642449276.0,2204825839455.0,3055140283930.0,3159956893751.0,3159956893751.0
