row_label_raw,row_label_full,col_0,Số năm,numeric__Số năm
"Máy móc, thiết bị","Máy móc, thiết bị","Máy móc, thiết bị",03 - 05,
Phương tiện vận tải truyền dẫn,"Máy móc, thiết bị > Phương tiện vận tải truyền dẫn",Phương tiện vận tải truyền dẫn,06,6.0
"Thiết bị, dụng cụ quản lý","Thiết bị, dụng cụ quản lý","Thiết bị, dụng cụ quản lý",03 - 05,
