row_label_raw,row_label_full,col_0,Nhà cửa vật kiến trúc VND,Tổng cộng VND,numeric__Nhà cửa vật kiến trúc VND,numeric__Tổng cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,
01/01/2024,NGUYÊN GIÁ > 01/01/2024,01/01/2024,56.149.693.891,56.149.693.891,56149693891.0,56149693891.0
31/12/2024,NGUYÊN GIÁ > 31/12/2024,31/12/2024,56.149.693.891,56.149.693.891,56149693891.0,56149693891.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,
01/01/2024,GIÁ TRỊ HAO MÒN LỦY KẾ > 01/01/2024,01/01/2024,28.705.494.715,28.705.494.715,28705494715.0,28705494715.0
- Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > - Khấu hao trong năm,- Khấu hao trong năm,1.261.162.836,1.261.162.836,1261162836.0,1261162836.0
31/12/2024,GIÁ TRỊ HAO MÒN LỦY KẾ > 31/12/2024,31/12/2024,29.966.657.551,29.966.657.551,29966657551.0,29966657551.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,
01/01/2024,GIÁ TRỊ CÒN LẠI > 01/01/2024,01/01/2024,27.444.199.176,27.444.199.176,27444199176.0,27444199176.0
31/12/2024,GIÁ TRỊ CÒN LẠI > 31/12/2024,31/12/2024,26.183.036.340,26.183.036.340,26183036340.0,26183036340.0
