row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Thuyết minh,31/12/2024 VND,01/01/2024 VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2024 VND,numeric__01/01/2024 VND
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,300,,1.885.442.852.682,2.350.058.627.616,300.0,,1885442852682.0,2350058627616.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,310,,1.825.185.825.312,2.320.858.627.616,310.0,,1825185825312.0,2320858627616.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,16,140.788.843.579,160.571.464.951,311.0,16.0,140788843579.0,160571464951.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,312,17,13.528.818.504,48.916.578.726,312.0,17.0,13528818504.0,48916578726.0
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,20,23.140.117.098,10.257.158.587,313.0,20.0,23140117098.0,10257158587.0
Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,314,,144.323.076,153.754.839,314.0,,144323076.0,153754839.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,18,307.645.807.624,414.405.659.695,315.0,18.0,307645807624.0,414405659695.0
Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,318,,29.090.909,29.090.908,318.0,,29090909.0,29090908.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,19,613.559.236.274,673.165.050.626,319.0,19.0,613559236274.0,673165050626.0
Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,320,21,724.546.892.856,1.010.831.089.092,320.0,21.0,724546892856.0,1010831089092.0
"Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",322,,1.802.695.392,2.528.780.192,322.0,,1802695392.0,2528780192.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,330,,60.257.027.370,29.200.000.000,330.0,,60257027370.0,29200000000.0
Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,338,21,60.257.027.370,29.200.000.000,338.0,21.0,60257027370.0,29200000000.0
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,400,22,440.751.592.353,253.762.354.326,400.0,22.0,440751592353.0,253762354326.0
Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,410,,440.751.592.353,253.762.354.326,410.0,,440751592353.0,253762354326.0
Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,411,,2.993.097.200.000,2.993.097.200.000,411.0,,2993097200000.0,2993097200000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,2.993.097.200.000,2.993.097.200.000,,,2993097200000.0,2993097200000.0
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,,50.510.908.328,50.510.908.328,412.0,,50510908328.0,50510908328.0
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,418,,6.196.436.959,6.196.436.959,418.0,,6196436959.0,6196436959.0
Lợi nhuận sau thuê chưa phân phối,Lợi nhuận sau thuê chưa phân phối,Lợi nhuận sau thuê chưa phân phối,421,,(2.609.052.952.934),(2.796.042.190.961),421.0,,-2609052952934.0,-2796042190961.0
- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,421a,,(2.796.042.190.961),(2.204.480.460.523),,,-2796042190961.0,-2204480460523.0
- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,421b,,186.989.238.027,(591.561.730.438),,,186989238027.0,-591561730438.0
TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,440,,2.326.194.445.035,2.603.820.981.942,440.0,,2326194445035.0,2603820981942.0
