row_label_raw,row_label_full,Loại tài sản,Số năm khấu hao,numeric__Số năm khấu hao
"- Nhà cửa, vật kiến trúc","- Nhà cửa, vật kiến trúc","- Nhà cửa, vật kiến trúc",05-50,
"- Máy móc, thiết bị","- Máy móc, thiết bị","- Máy móc, thiết bị",05 - 20,
- Phương tiện vận tải,- Phương tiện vận tải,- Phương tiện vận tải,08-10,
"- Thiết bị, dụng cụ quản lý","- Thiết bị, dụng cụ quản lý","- Thiết bị, dụng cụ quản lý",03 - 05,
- Vườn cây lâu năm,"- Thiết bị, dụng cụ quản lý > - Vườn cây lâu năm",- Vườn cây lâu năm,20,20.0
- Tài sản cố định khác,- Tài sản cố định khác,- Tài sản cố định khác,08 - 10,
