row_label_raw,row_label_full,Năm 2023,"Hoạt động bán gỗ, thành phẩm từ gỗ VND",Hoạt động bán đá VND,Cho thuê tài sản VND,Cộng VND,"numeric__Hoạt động bán gỗ, thành phẩm từ gỗ VND",numeric__Hoạt động bán đá VND,numeric__Cho thuê tài sản VND,numeric__Cộng VND
Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,2.198.322.000,24.199.785.000,4.657.909.091,31.056.016.091,2198322000.0,24199785000.0,4657909091.0,31056016091.0
Tổng doanh thu thuần từ bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần từ bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần từ bán hàng và cung cấp dịch vụ,2.198.322.000,24.199.785.000,4.657.909.091,31.056.016.091,2198322000.0,24199785000.0,4657909091.0,31056016091.0
Chi phí phân bổ,Chi phí phân bổ,Chi phí phân bổ,55.958.808.839,24.003.127.631,4.310.102.114,84.272.038.584,55958808839.0,24003127631.0,4310102114.0,84272038584.0
Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,(53.760.486.839),196.657.369,347.806.977,(53.216.022.493),-53760486839.0,196657369.0,347806977.0,-53216022493.0
Các chi phí không theo bộ phận,Các chi phí không theo bộ phận,Các chi phí không theo bộ phận,,,,511.558.102.502,,,,511558102502.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,(564.774.124.995),,,,-564774124995.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,243.278.793.783,,,,243278793783.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,258.711.720.209,,,,258711720209.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,397.569.260,,,,397569260.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,11.752.248.277,,,,11752248277.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,-,,,,
Lợi nhuận sau thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp hiện hành > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,(591.561.730.438),,,,-591561730438.0
Tài sản không phân bổ theo bộ phận,Chi phí thuế thu nhập doanh nghiệp hiện hành > Tài sản không phân bổ theo bộ phận,Tài sản không phân bổ theo bộ phận,,,,2.603.820.981.942,,,,2603820981942.0
Nợ phải trả không phân bổ theo bộ phận,Chi phí thuế thu nhập doanh nghiệp hiện hành > Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,,2.350.058.627.616,,,,2350058627616.0
