row_label_raw,row_label_full,col_0,01/01/2024VND,Số phải nộp trong năm VND,Số đã nộp/khẩu trừ trong năm VND,31/12/2024VND,numeric__01/01/2024VND,numeric__Số phải nộp trong năm VND,numeric__Số đã nộp/khẩu trừ trong năm VND,numeric__31/12/2024VND
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
- Thuế giá trị gia tăng đầu ra,Phải nộp > - Thuế giá trị gia tăng đầu ra,- Thuế giá trị gia tăng đầu ra,1.171.875.084,(109.736.065),226.526.601,835.612.418,1171875084.0,-109736065.0,226526601.0,835612418.0
- Thuế thu nhập cá nhân,Phải nộp > - Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,-,5.786.948,-,5.786.948,,5786948.0,,5786948.0
"- Thuế nhà đất, tiền thuê đất","Phải nộp > - Thuế nhà đất, tiền thuê đất","- Thuế nhà đất, tiền thuê đất",4.278.447.984,13.025.224.810,4.807.402.377,12.496.270.417,4278447984.0,13025224810.0,4807402377.0,12496270417.0
"- Phí, lệ phí và các khoản phải nộp khác","Phải nộp > - Phí, lệ phí và các khoản phải nộp khác","- Phí, lệ phí và các khoản phải nộp khác",4.806.835.519,5.081.611.796,86.000.000,9.802.447.315,4806835519.0,5081611796.0,86000000.0,9802447315.0
,,,10.257.158.587,18.002.887.489,5.119.928.978,23.140.117.098,10257158587.0,18002887489.0,5119928978.0,23140117098.0
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
- Thuế thu nhập doanh nghiệp,Phải thu > - Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,63.506.675,-,-,63.506.675,63506675.0,,,63506675.0
- Thuế thu nhập cá nhân,Phải thu > - Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,2.417.345,15.000.456,12.583.111,-,2417345.0,15000456.0,12583111.0,
,,,65.924.020,15.000.456,12.583.111,63.506.675,65924020.0,15000456.0,12583111.0,63506675.0
