row_label_raw,row_label_full,CHỈ TIÊU > Lưu chuyển tiền thuần trong năm > Tiền và tương đương tiền đầu năm,Mã số > 50 > 60,Thuyết minh,Năm 2024 VND > (2.800.840.127) > 3.925.127.205,Năm 2023 VND > (468.695.792) > 4.393.051.075,numeric__Mã số > 50 > 60,numeric__Thuyết minh,numeric__Năm 2024 VND > (2.800.840.127) > 3.925.127.205,numeric__Năm 2023 VND > (468.695.792) > 4.393.051.075
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,1.241.180,771.922,61.0,,1241180.0,771922.0
Tiền và tương đương tiền cuối năm,Tiền và tương đương tiền cuối năm,Tiền và tương đương tiền cuối năm,70,5,1.125.528.258,3.925.127.205,70.0,5.0,1125528258.0,3925127205.0
