row_label_raw,row_label_full,col_0,Năm 2024VND,Năm 2023VND,numeric__Năm 2024VND,numeric__Năm 2023VND
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,186.989.238.027,(591.561.730.438),186989238027.0,-591561730438.0
Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,267.559.932.834,938.456.640.973,267559932834.0,938456640973.0
- Trích dự phòng nợ phải thu khó đòi,- Trích dự phòng nợ phải thu khó đòi,- Trích dự phòng nợ phải thu khó đòi,235.989.331.617,-,235989331617.0,
"- Chi phí không hợp lý, hợp lệ khác","- Chi phí không hợp lý, hợp lệ khác","- Chi phí không hợp lý, hợp lệ khác",31.570.601.217,938.456.640.973,31570601217.0,938456640973.0
Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,142.810.237.876,390.612.644.521,142810237876.0,390612644521.0
"- Cổ tức, lợi nhuận được chia","- Cổ tức, lợi nhuận được chia","- Cổ tức, lợi nhuận được chia",21.405.036.000,21.405.036.000,21405036000.0,21405036000.0
- Hoàn nhập dự phòng nợ phải thu khó đòi,- Hoàn nhập dự phòng nợ phải thu khó đòi,- Hoàn nhập dự phòng nợ phải thu khó đòi,-,368.581.494.571,,368581494571.0
- Hoàn nhập dự phòng đầu tư tài chính,- Hoàn nhập dự phòng đầu tư tài chính,- Hoàn nhập dự phòng đầu tư tài chính,111.639.209.692,-,111639209692.0,
- Lãi do đánh giá chênh lệch tỷ giá cuối năm của tiền và nợ phải thu,- Lãi do đánh giá chênh lệch tỷ giá cuối năm của tiền và nợ phải thu,- Lãi do đánh giá chênh lệch tỷ giá cuối năm của tiền và nợ phải thu,9.765.992.184,626.113.950,9765992184.0,626113950.0
Tổng thu nhập chịu thuế trong năm,Tổng thu nhập chịu thuế trong năm,Tổng thu nhập chịu thuế trong năm,311.738.932.985,(43.717.733.986),311738932985.0,-43717733986.0
Lỗ các năm trước được chuyển,Lỗ các năm trước được chuyển,Lỗ các năm trước được chuyển,(311.738.932.985),-,-311738932985.0,
Tổng thu nhập tính thuế trong năm,Tổng thu nhập tính thuế trong năm,Tổng thu nhập tính thuế trong năm,-,(43.717.733.986),,-43717733986.0
Thuế suất,Thuế suất,Thuế suất,20%,20%,0.2,0.2
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,-,-,,
