row_label_raw,row_label_full,col_0,Contributed capital,Development and investment fund,Retained earnings,Total,numeric__Contributed capital,numeric__Development and investment fund,numeric__Retained earnings,numeric__Total
,,,VND,VND,VND,VND,,,,
Balance as at 01/01/2024,Balance as at 01/01/2024,Balance as at 01/01/2024,"40,000,000,000,000","1,929,177,065,651","1,458,261,731,859","43,387,438,797,510",,,,
Profit of the previous year,Profit of the previous year,Profit of the previous year,-,-,"2,353,531,650,555","2,353,531,650,555",,,,
Appropriation to Development and investment fund,Appropriation to Development and investment fund,Appropriation to Development and investment fund,-,"246,783,463,631","(246,783,463,631)",-,,,,
Appropriation to Bonus and welfare funds,Appropriation to Bonus and welfare funds,Appropriation to Bonus and welfare funds,-,-,"(10,370,880,000)","(10,370,880,000)",,,,
Appropriation to Executive Board Bonus Fund,Appropriation to Executive Board Bonus Fund,Appropriation to Executive Board Bonus Fund,-,-,"(1,107,388,228)","(1,107,388,228)",,,,
Dividend distribution,Dividend distribution,Dividend distribution,-,-,"(1,200,000,000,000)","(1,200,000,000,000)",,,,
Balance as at 31/12/2024,Balance as at 31/12/2024,Balance as at 31/12/2024,"40,000,000,000,000","2,175,960,529,282","2,353,531,650,555","44,529,492,179,837",,,,
Balance as at 01/01/2025,Balance as at 01/01/2025,Balance as at 01/01/2025,"40,000,000,000,000","2,175,960,529,282","2,353,531,650,555","44,529,492,179,837",,,,
Profit of the current year,Profit of the current year,Profit of the current year,-,-,"2,503,357,002,933","2,503,357,002,933",,,,
Appropriation to Development and investment fund,Appropriation to Development and investment fund,Appropriation to Development and investment fund,-,"704,705,691,823","(704,705,691,823)",-,,,,
Appropriation to Bonus and welfare funds,Appropriation to Bonus and welfare funds,Appropriation to Bonus and welfare funds,-,-,"(47,211,134,732)","(47,211,134,732)",,,,
Appropriation to Executive Board Bonus fund,Appropriation to Executive Board Bonus fund,Appropriation to Executive Board Bonus fund,-,-,"(1,614,824,000)","(1,614,824,000)",,,,
Dividend distribution,Dividend distribution,Dividend distribution,-,-,"(1,600,000,000,000)","(1,600,000,000,000)",,,,
Balance as at 31/12/2025,Balance as at 31/12/2025,Balance as at 31/12/2025,"40,000,000,000,000","2,880,666,221,105","2,503,357,002,933","45,384,023,224,038",,,,
