row_label_raw,row_label_full,Mr. Nguyen Van Cuong > Mr. Pham Van Hoi Em,Full-time Supervisor > Head of the Board of Supervision,Appointed on 05/11/2025 > Resigned on 05/11/2025,numeric__Full-time Supervisor > Head of the Board of Supervision,numeric__Appointed on 05/11/2025 > Resigned on 05/11/2025
Mr. Nguyen Minh Duc,Mr. Nguyen Minh Duc,Mr. Nguyen Minh Duc,Member,,,
Mr. Vo Van Tuan,Mr. Vo Van Tuan,Mr. Vo Van Tuan,Member,,,
