row_label_raw,row_label_full,col_0,01/01/2025,01/01/2025_1,During the year,During the year_1,31/12/2025,31/12/2025_1,numeric__01/01/2025,numeric__01/01/2025_1,numeric__During the year,numeric__During the year_1,numeric__31/12/2025,numeric__31/12/2025_1
,,,Outstanding balance,Amount can be paid,Increase,Decrease,Outstanding balance,Amount can be paid,,,,,,
,,,VND,VND,VND,VND,VND,VND,,,,,,
a) Short-term borrowings,a) Short-term borrowings,a) Short-term borrowings,a) Short-term borrowings,a) Short-term borrowings,a) Short-term borrowings,a) Short-term borrowings,a) Short-term borrowings,a) Short-term borrowings,,,,,,
Current portion of long-term borrowings,Current portion of long-term borrowings,Current portion of long-term borrowings,Current portion of long-term borrowings,Current portion of long-term borrowings,Current portion of long-term borrowings,Current portion of long-term borrowings,Current portion of long-term borrowings,Current portion of long-term borrowings,,,,,,
- Vietnam Development Commercial Joint Stock Bank (Transaction Office No. 2) - AFD Borrowings,- Vietnam Development Commercial Joint Stock Bank (Transaction Office No. 2) - AFD Borrowings,- Vietnam Development Commercial Joint Stock Bank (Transaction Office No. 2) - AFD Borrowings,"31,514,615,897","31,514,615,897",-,"31,514,615,897",-,-,,,,,,
- Vietnam Development Commercial Joint Stock Bank (Transaction Office No. 2) - AFD Borrowings,- Vietnam Development Commercial Joint Stock Bank (Transaction Office No. 2) - AFD Borrowings,- Vietnam Development Commercial Joint Stock Bank (Transaction Office No. 2) - AFD Borrowings,"31,514,615,897","31,514,615,897",-,"31,514,615,897",-,-,,,,,,
b) Long-term borrowings,b) Long-term borrowings,b) Long-term borrowings,b) Long-term borrowings,b) Long-term borrowings,b) Long-term borrowings,b) Long-term borrowings,b) Long-term borrowings,b) Long-term borrowings,,,,,,
- Vietnam Development Commercial Joint Stock Bank (Transaction Office No. 2) AFD Borrowings,- Vietnam Development Commercial Joint Stock Bank (Transaction Office No. 2) AFD Borrowings,- Vietnam Development Commercial Joint Stock Bank (Transaction Office No. 2) AFD Borrowings,"31,514,615,897","31,514,615,897",-,"31,514,615,897",-,-,,,,,,
- Vietnam Development Commercial Joint Stock Bank (Transaction Office No. 2) AFD Borrowings,- Vietnam Development Commercial Joint Stock Bank (Transaction Office No. 2) AFD Borrowings,- Vietnam Development Commercial Joint Stock Bank (Transaction Office No. 2) AFD Borrowings,"31,514,615,897","31,514,615,897",-,"31,514,615,897",-,-,,,,,,
Amounts come due within 12 months,Amounts come due within 12 months,Amounts come due within 12 months,"(31,514,615,897)","(31,514,615,897)",-,"(31,514,615,897)",-,-,,,,,,
Amounts come due after 12 months,Amounts come due after 12 months,Amounts come due after 12 months,-,-,,,-,-,,,,,,
