row_label_raw,row_label_full,col_0,Rate,Amount,numeric__Rate,numeric__Amount
,,,(%),VND,,
Profit after corporate income tax,Profit after corporate income tax,Profit after corporate income tax,100.00,"2,353,531,650,555",10000.0,
Appropriation to Development and investment fund,Appropriation to Development and investment fund,Appropriation to Development and investment fund,29.94,"704,705,691,823",2994.0,
"Appropriation to Bonus and welfare funds, Executive Board Bonus fund","Appropriation to Bonus and welfare funds, Executive Board Bonus fund","Appropriation to Bonus and welfare funds, Executive Board Bonus fund",2.07,"48,825,958,732",207.0,
Dividend distribution (payment rate: 4.0% of charter capital),Dividend distribution (payment rate: 4.0% of charter capital),Dividend distribution (payment rate: 4.0% of charter capital),67.98,"1,600,000,000,000",6798.0,
