row_label_raw,row_label_full,Bên liên quan,-,30.319.956.931,numeric__-,numeric__30.319.956.931
- Công ty TNHH MTV Cao su Bình Long,- Công ty TNHH MTV Cao su Bình Long,- Công ty TNHH MTV Cao su Bình Long,-,4.113.583.501,,4113583501.0
- Công ty TNHH MTV Cao su Bình Thuận,- Công ty TNHH MTV Cao su Bình Thuận,- Công ty TNHH MTV Cao su Bình Thuận,-,25.592.194.034,,25592194034.0
- Các bên liên quan khác,- Các bên liên quan khác,- Các bên liên quan khác,-,614.179.396,,614179396.0
Bên khác,Bên khác,Bên khác,28.421.441.071,98.964.841.403,28421441071.0,98964841403.0
,,,28.421.441.071,129.284.798.334,28421441071.0,129284798334.0
