row_label_raw,row_label_full,Name of Investees,Place of establishment and operating,Rate of interest,Rate of voting rights,Principal activities,numeric__Place of establishment and operating,numeric__Rate of interest,numeric__Rate of voting rights,numeric__Principal activities
Subsidiaries with 100% of contributed capital,Subsidiaries with 100% of contributed capital,Subsidiaries with 100% of contributed capital,Subsidiaries with 100% of contributed capital,Subsidiaries with 100% of contributed capital,Subsidiaries with 100% of contributed capital,Subsidiaries with 100% of contributed capital,,,,
"- Dong Nai Rubber Corporation Co., Ltd","Subsidiaries with 100% of contributed capital > - Dong Nai Rubber Corporation Co., Ltd","- Dong Nai Rubber Corporation Co., Ltd",Dong Nai province,100.00%,100.00%,"Grow, exploit and trade rubber",,100.0,100.0,
"- Binh Long Rubber Co., Ltd","Subsidiaries with 100% of contributed capital > - Binh Long Rubber Co., Ltd","- Binh Long Rubber Co., Ltd",Dong Nai province,100.00%,100.00%,"Grow, exploit and trade rubber",,100.0,100.0,
"- Dau Tieng Rubber Co., Ltd","Subsidiaries with 100% of contributed capital > - Dau Tieng Rubber Co., Ltd","- Dau Tieng Rubber Co., Ltd",Ho Chi Minh City,100.00%,100.00%,"Grow, exploit and trade rubber",,100.0,100.0,
"- Loc Ninh Rubber Co., Ltd","Subsidiaries with 100% of contributed capital > - Loc Ninh Rubber Co., Ltd","- Loc Ninh Rubber Co., Ltd",Dong Nai province,100.00%,100.00%,"Grow, exploit and trade rubber",,100.0,100.0,
"- Phu Rieng Rubber Co., Ltd","Subsidiaries with 100% of contributed capital > - Phu Rieng Rubber Co., Ltd","- Phu Rieng Rubber Co., Ltd",Dong Nai province,100.00%,100.00%,"Grow, exploit and trade rubber",,100.0,100.0,
"- Krong Buk Rubber Co., Ltd","Subsidiaries with 100% of contributed capital > - Krong Buk Rubber Co., Ltd","- Krong Buk Rubber Co., Ltd",Dak Lak province,100.00%,100.00%,"Grow, exploit and trade rubber",,100.0,100.0,
"- Ea H'Leo Rubber Co., Ltd","Subsidiaries with 100% of contributed capital > - Ea H'Leo Rubber Co., Ltd","- Ea H'Leo Rubber Co., Ltd",Dak Lak province,100.00%,100.00%,"Grow, exploit and trade rubber",,100.0,100.0,
"- Chu Prong Rubber Co., Ltd","Subsidiaries with 100% of contributed capital > - Chu Prong Rubber Co., Ltd","- Chu Prong Rubber Co., Ltd",Gia Lai province,100.00%,100.00%,"Grow, exploit and trade rubber",,100.0,100.0,
"- Chu Se Rubber Co., Ltd","Subsidiaries with 100% of contributed capital > - Chu Se Rubber Co., Ltd","- Chu Se Rubber Co., Ltd",Gia Lai province,100.00%,100.00%,"Grow, exploit and trade rubber",,100.0,100.0,
