row_label_raw,row_label_full,col_0,Tax receivables at the beginning of the year,Tax payables at the beginning of the year,Tax payables in the year,Tax paid in the year,Tax receivables at the end of the year,Tax payables at the end of the year,numeric__Tax receivables at the beginning of the year,numeric__Tax payables at the beginning of the year,numeric__Tax payables in the year,numeric__Tax paid in the year,numeric__Tax receivables at the end of the year,numeric__Tax payables at the end of the year
,,,VND,VND,VND,VND,VND,VND,,,,,,
Value added tax,Value added tax,Value added tax,"114,111,475,993",-,"44,682,141,281","46,853,442,736","116,282,777,448",-,,,,,,
Corporate income tax,Corporate income tax,Corporate income tax,"33,132,521,750",-,-,-,"33,132,521,750",-,,,,,,
Personal income tax,Personal income tax,Personal income tax,-,"378,806,121","22,936,627,604","20,652,453,922",-,"2,662,979,803",,,,,,
Land tax and land rental,Land tax and land rental,Land tax and land rental,"4,000,752",-,"4,428,157,937","4,428,157,937","4,000,752",-,,,,,,
Dividends payable to the State capital portion,Dividends payable to the State capital portion,Dividends payable to the State capital portion,-,-,"1,548,337,127,600","1,548,337,127,600",-,-,,,,,,
Payables on equitization,Payables on equitization,Payables on equitization,-,-,"75,109,000,000","75,109,000,000",-,-,,,,,,
"Fees, charges and other payables (*)","Fees, charges and other payables (*)","Fees, charges and other payables (*)","27,051,323,632",-,"9,157,198,200","9,157,198,200","27,051,323,632",-,,,,,,
,,,"174,299,322,127","378,806,121","1,704,650,252,622","1,704,537,380,395","176,470,623,582","2,662,979,803",,,,,,
