row_label_raw,row_label_full,col_0,Year 2025,Year 2024,numeric__Year 2025,numeric__Year 2024
,,,VND,VND,,
Owner's contributed capital,Owner's contributed capital,Owner's contributed capital,Owner's contributed capital,Owner's contributed capital,,
- At the beginning of the year,- At the beginning of the year,- At the beginning of the year,"40,000,000,000,000","40,000,000,000,000",,
- At the end of the year,- At the end of the year,- At the end of the year,"40,000,000,000,000","40,000,000,000,000",,
Distributed dividends and profit,Distributed dividends and profit,Distributed dividends and profit,Distributed dividends and profit,Distributed dividends and profit,,
"- Dividend, profit payable at the beginning of the year","- Dividend, profit payable at the beginning of the year","- Dividend, profit payable at the beginning of the year","758,789,312","634,244,577",,
"- Dividend, profit payable in the year","- Dividend, profit payable in the year","- Dividend, profit payable in the year","1,600,000,000,000","1,200,000,000,000",,
"+ Dividend, profit payable from last year's profit","+ Dividend, profit payable from last year's profit","+ Dividend, profit payable from last year's profit","1,600,000,000,000","1,200,000,000,000",,
"- Dividend, profit paid in cash","- Dividend, profit paid in cash","- Dividend, profit paid in cash","1,599,900,918,620","1,199,875,455,265",,
"+ Dividend, profit payable from last year's profit","+ Dividend, profit payable from last year's profit","+ Dividend, profit payable from last year's profit","1,599,900,918,620","1,199,875,455,265",,
"- Dividend, profit payable at the end of the year","- Dividend, profit payable at the end of the year","- Dividend, profit payable at the end of the year","857,870,692","758,789,312",,
