row_label_raw,row_label_full,col_0,Từ 1 nămtrở xuống,Trên 1 nămđến 5 năm,Trên 5 năm,Cộng,numeric__Từ 1 nămtrở xuống,numeric__Trên 1 nămđến 5 năm,numeric__Trên 5 năm,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Tại ngày 31/12/2025,Tại ngày 31/12/2025,Tại ngày 31/12/2025,Tại ngày 31/12/2025,Tại ngày 31/12/2025,Tại ngày 31/12/2025,Tại ngày 31/12/2025,,,,
Tiền và các khoản tương đương tiền,Tại ngày 31/12/2025 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.302.042.296.483,-,-,1.302.042.296.483,1302042296483.0,,,1302042296483.0
"Phải thu khách hàng, phải thu khác","Tại ngày 31/12/2025 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",901.803.842.191,2.262.825.580.231,-,3.164.629.422.422,901803842191.0,2262825580231.0,,3164629422422.0
Các khoản cho vay,Tại ngày 31/12/2025 > Các khoản cho vay,Các khoản cho vay,3.889.506.042.088,357.192.063.637,-,4.246.698.105.725,3889506042088.0,357192063637.0,,4246698105725.0
,,,6.093.352.180.762,2.712.401.659.413,-,8.805.753.840.175,6093352180762.0,2712401659413.0,,8805753840175.0
Tại ngày 01/01/2025,Tại ngày 01/01/2025,Tại ngày 01/01/2025,Tại ngày 01/01/2025,Tại ngày 01/01/2025,Tại ngày 01/01/2025,Tại ngày 01/01/2025,,,,
Tiền và các khoản tương đương tiền,Tại ngày 01/01/2025 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,604.813.681.439,-,-,604.813.681.439,604813681439.0,,,604813681439.0
"Phải thu khách hàng, phải thu khác","Tại ngày 01/01/2025 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",1.132.047.316.113,2.307.628.216.562,-,3.439.675.532.675,1132047316113.0,2307628216562.0,,3439675532675.0
Các khoản cho vay,Tại ngày 01/01/2025 > Các khoản cho vay,Các khoản cho vay,3.706.095.812.211,373.502.713.819,-,4.079.598.526.030,3706095812211.0,373502713819.0,,4079598526030.0
,,,5.442.956.809.763,2.769.088.837.853,-,8.212.045.647.616,5442956809763.0,2769088837853.0,,8212045647616.0
