row_label_raw,row_label_full,col_0,col_1,31/12/2025,31/12/2025_1,01/01/2025,01/01/2025_1,numeric__col_1,numeric__31/12/2025,numeric__31/12/2025_1,numeric__01/01/2025,numeric__01/01/2025_1
,,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,,
,,,,VND,VND,VND,VND,,,,,
"Nguyên liệu, vật liệu","Nguyên liệu, vật liệu","Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",34.957.765,-,40.386.595,-,,34957765.0,,40386595.0,
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",1.840.400.000,-,1.840.400.000,-,,1840400000.0,,1840400000.0,
Hàng hoá,Hàng hoá,Hàng hoá,Hàng hoá,285.187.611.854,-,710.547.254.106,-,,285187611854.0,,710547254106.0,
,,,,287.062.969.619,-,712.428.040.701,-,,287062969619.0,,712428040701.0,
11 . TÀI SẢN CÓ ĐỊNH HỮU HÌNH,11 . TÀI SẢN CÓ ĐỊNH HỮU HÌNH,11 . TÀI SẢN CÓ ĐỊNH HỮU HÌNH,11 . TÀI SẢN CÓ ĐỊNH HỮU HÌNH,11 . TÀI SẢN CÓ ĐỊNH HỮU HÌNH,11 . TÀI SẢN CÓ ĐỊNH HỮU HÌNH,11 . TÀI SẢN CÓ ĐỊNH HỮU HÌNH,11 . TÀI SẢN CÓ ĐỊNH HỮU HÌNH,,,,,
,,,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn","Thiết bị, dụng cụquản lý",Cộng,,,,,
,,,VND,VND,VND,VND,VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,157.774.809.642,4.708.703.255,28.488.550.786,69.383.217.408,260.355.281.091,157774809642.0,4708703255.0,28488550786.0,69383217408.0,260355281091.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,2.444.377.462,4.969.270.909,1.338.203.796,8.751.852.167,,2444377462.0,4969270909.0,1338203796.0,8751852167.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,157.774.809.642,7.153.080.717,33.457.821.695,70.721.421.204,269.107.133.258,157774809642.0,7153080717.0,33457821695.0,70721421204.0,269107133258.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,77.597.909.934,4.708.703.255,12.666.314.738,69.259.413.408,164.232.341.335,77597909934.0,4708703255.0,12666314738.0,69259413408.0,164232341335.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,5.886.817.009,88.548.037,2.801.835.760,225.928.679,9.003.129.485,5886817009.0,88548037.0,2801835760.0,225928679.0,9003129485.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,83.484.726.943,4.797.251.292,15.468.150.498,69.485.342.087,173.235.470.820,83484726943.0,4797251292.0,15468150498.0,69485342087.0,173235470820.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,80.176.899.708,-,15.822.236.048,123.804.000,96.122.939.756,80176899708.0,,15822236048.0,123804000.0,96122939756.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,74.290.082.699,2.355.829.425,17.989.671.197,1.236.079.117,95.871.662.438,74290082699.0,2355829425.0,17989671197.0,1236079117.0,95871662438.0
