row_label_raw,row_label_full,col_0,Land use rights,Computer software,Total,numeric__Land use rights,numeric__Computer software,numeric__Total
,,,VND,VND,VND,,,
Historical cost,Historical cost,Historical cost,Historical cost,Historical cost,Historical cost,,,
Beginning balance,Beginning balance,Beginning balance,"11,109,585,388","10,745,977,222","21,855,562,610",,,
- Purchase in the year,- Purchase in the year,- Purchase in the year,-,"84,102,564","84,102,564",,,
Ending balance,Ending balance,Ending balance,"11,109,585,388","10,830,079,786","21,939,665,174",,,
Accumulated amortization,Accumulated amortization,Accumulated amortization,Accumulated amortization,Accumulated amortization,Accumulated amortization,,,
Beginning balance,Beginning balance,Beginning balance,-,"10,256,471,240","10,256,471,240",,,
- Amortization in the year,- Amortization in the year,- Amortization in the year,-,"282,102,888","282,102,888",,,
Ending balance,Ending balance,Ending balance,-,"10,538,574,128","10,538,574,128",,,
Carrying amount,Carrying amount,Carrying amount,Carrying amount,Carrying amount,Carrying amount,,,
Beginning balance,Beginning balance,Beginning balance,"11,109,585,388","489,505,982","11,599,091,370",,,
Ending balance,Ending balance,Ending balance,"11,109,585,388","291,505,658","11,401,091,046",,,
