row_label_raw,row_label_full,Đầu tư vào đơn vị khác > - Công ty Cổ phần Phát triển Đô thị và Khu công nghiệp Cao su Việt Nam (2),Mã chứng khoán > Đầu tư vào đơn vị khác > VRG,31/12/2025 > Giá gốcVND > Đầu tư vào đơn vị khác > 9.743.200.000,31/12/2025 > Giá trị hợp lý > Đầu tư vào đơn vị khác > 69.909.678.933,31/12/2025 > Dự phòngVND > Đầu tư vào đơn vị khác > -,01/01/2025 > Giá gốcVND > Đầu tư vào đơn vị khác > 9.743.200.000,01/01/2025 > Giá trị hợp lý > Đầu tư vào đơn vị khác > 96.539.456.000,01/01/2025 > Dự phòngVND > Đầu tư vào đơn vị khác > -,numeric__Mã chứng khoán > Đầu tư vào đơn vị khác > VRG,numeric__31/12/2025 > Giá gốcVND > Đầu tư vào đơn vị khác > 9.743.200.000,numeric__31/12/2025 > Giá trị hợp lý > Đầu tư vào đơn vị khác > 69.909.678.933,numeric__31/12/2025 > Dự phòngVND > Đầu tư vào đơn vị khác > -,numeric__01/01/2025 > Giá gốcVND > Đầu tư vào đơn vị khác > 9.743.200.000,numeric__01/01/2025 > Giá trị hợp lý > Đầu tư vào đơn vị khác > 96.539.456.000,numeric__01/01/2025 > Dự phòngVND > Đầu tư vào đơn vị khác > -
- Công ty Cổ phần Chế biến Gỗ Thuận An (1),- Công ty Cổ phần Chế biến Gỗ Thuận An (1),- Công ty Cổ phần Chế biến Gỗ Thuận An (1),GTA,18.329.722.400,10.718.416.940,(7.611.305.460),18.329.722.400,11.623.726.400,(6.705.996.000),,18329722400.0,10718416940.0,-7611305460.0,18329722400.0,11623726400.0,-6705996000.0
- Công ty Cổ phần Du lịch Quốc tế Vũng Tàu,- Công ty Cổ phần Du lịch Quốc tế Vũng Tàu,- Công ty Cổ phần Du lịch Quốc tế Vũng Tàu,VIR,3.850.000.000,,(465.143.603),3.850.000.000,,(215.512.850),,3850000000.0,,-465143603.0,3850000000.0,,-215512850.0
- Công ty Cổ phần EVN Quốc tế (2),- Công ty Cổ phần EVN Quốc tế (2),- Công ty Cổ phần EVN Quốc tế (2),EIC,44.118.073.392,109.454.400.000,-,44.118.073.392,94.176.000.000,-,,44118073392.0,109454400000.0,,44118073392.0,94176000000.0,
- Công ty Cổ phần Điện Việt Lào,- Công ty Cổ phần Điện Việt Lào,- Công ty Cổ phần Điện Việt Lào,,79.567.924.335,,-,79.567.924.335,,-,,79567924335.0,,,79567924335.0,,
- Tổng Công ty Xây dựng và Thủy lợi 4 - CTCP (2),- Tổng Công ty Xây dựng và Thủy lợi 4 - CTCP (2),- Tổng Công ty Xây dựng và Thủy lợi 4 - CTCP (2),TL4,24.418.782.000,26.245.668.653,-,24.418.782.000,18.837.733.714,(5.581.048.286),,24418782000.0,26245668653.0,,24418782000.0,18837733714.0,-5581048286.0
- Công ty Cổ phần BOT Quốc lộ 13 An Lộc - Hoa Lư,- Công ty Cổ phần BOT Quốc lộ 13 An Lộc - Hoa Lư,- Công ty Cổ phần BOT Quốc lộ 13 An Lộc - Hoa Lư,,23.082.813.181,,(23.082.813.181),23.082.813.181,,(23.082.813.181),,23082813181.0,,-23082813181.0,23082813181.0,,-23082813181.0
- Công ty Cổ phần Đầu tư Sài Gòn VRG (2),- Công ty Cổ phần Đầu tư Sài Gòn VRG (2),- Công ty Cổ phần Đầu tư Sài Gòn VRG (2),SIP,686.816,201.370.998.400,-,686.816,267.781.440.000,-,,686816.0,201370998400.0,,686816.0,267781440000.0,
- Công ty Cổ phần Thép tấm Miền Nam (3),- Công ty Cổ phần Thép tấm Miền Nam (3),- Công ty Cổ phần Thép tấm Miền Nam (3),,-,,-,-,,-,,,,,,,
- Công ty Cổ phần Thép Hưng Thịnh (3),- Công ty Cổ phần Thép Hưng Thịnh (3),- Công ty Cổ phần Thép Hưng Thịnh (3),,-,,-,-,,-,,,,,,,
,,,,203.111.202.124,,(31.159.262.244),203.111.202.124,,(35.585.370.317),,203111202124.0,,-31159262244.0,203111202124.0,,-35585370317.0
