row_label_raw,row_label_full,"- Buildings, structures",10 - 25 years,numeric__10 - 25 years
"- Machinery, equipment","- Machinery, equipment","- Machinery, equipment",03 - 10 years,
- Transportation equipment,- Transportation equipment,- Transportation equipment,03 - 08 years,
- Office equipment,- Office equipment,- Office equipment,03 years,
- Management software,- Management software,- Management software,03 - 10 years,
- Long-term land use rights,- Long-term land use rights,- Long-term land use rights,Not amortized,
