row_label_raw,row_label_full,col_0,31/12/2025,Rate,01/01/2025,Rate_1,numeric__31/12/2025,numeric__Rate,numeric__01/01/2025,numeric__Rate_1
,,,VND,(%),(%),VND,,,,
- Capital of State,- Capital of State,- Capital of State,"38,708,428,190,000",96.77,"38,708,428,190,000",96.77,,9677.0,,9677.0
- Capital of employees,- Capital of employees,- Capital of employees,"288,133,710,000",0.72,"288,133,710,000",0.72,,72.0,,72.0
- Capital of the trade union organization,- Capital of the trade union organization,- Capital of the trade union organization,"7,262,500,000",0.02,"7,262,500,000",0.02,,2.0,,2.0
- Others,- Others,- Others,"996,175,600,000",2.49,"996,175,600,000",2.49,,249.0,,249.0
,,,"40,000,000,000,000",100.00,"40,000,000,000,000",100.00,,10000.0,,10000.0
