row_label_raw,row_label_full,Tình trạng hồ sơ,Tình trạng hồ sơ_1,Số hồ sơ,Số dư nợ,Số dư nợ_1,numeric__Tình trạng hồ sơ_1,numeric__Số hồ sơ,numeric__Số dư nợ,numeric__Số dư nợ_1
Tình trạng hồ sơ,Tình trạng hồ sơ,Tình trạng hồ sơ,Tình trạng hồ sơ,Số hồ sơ,Nợ gốc,Nợ lãi,,,,
,,,,,VND,VND,,,,
"Hồ sơ đã khởi kiện, chuyển Tòa án","Tình trạng hồ sơ > Hồ sơ đã khởi kiện, chuyển Tòa án","Hồ sơ đã khởi kiện, chuyển Tòa án","Hồ sơ đã khởi kiện, chuyển Tòa án",26,382.054.156.261,935.827.176.418,,26.0,382054156261.0,935827176418.0
+ Hồ sơ tín dụng Tòa án đang thụ lý chưa có bản án,Tình trạng hồ sơ > + Hồ sơ tín dụng Tòa án đang thụ lý chưa có bản án,+ Hồ sơ tín dụng Tòa án đang thụ lý chưa có bản án,+ Hồ sơ tín dụng Tòa án đang thụ lý chưa có bản án,20,334.979.385.478,878.502.568.189,,20.0,334979385478.0,878502568189.0
+ Hồ sơ tín dụng Tòa án đang thụ lý có bản án,Tình trạng hồ sơ > + Hồ sơ tín dụng Tòa án đang thụ lý có bản án,+ Hồ sơ tín dụng Tòa án đang thụ lý có bản án,+ Hồ sơ tín dụng Tòa án đang thụ lý có bản án,2,12.142.850.582,51.793.345.199,,2.0,12142850582.0,51793345199.0
+ Hồ sơ tín dụng Tòa án đã đình chi khởi kiện do hết hiệu lực - khởi kiện quyền đời nợ,Tình trạng hồ sơ > + Hồ sơ tín dụng Tòa án đã đình chi khởi kiện do hết hiệu lực - khởi kiện quyền đời nợ,+ Hồ sơ tín dụng Tòa án đã đình chi khởi kiện do hết hiệu lực - khởi kiện quyền đời nợ,+ Hồ sơ tín dụng Tòa án đã đình chi khởi kiện do hết hiệu lực - khởi kiện quyền đời nợ,4,34.931.920.261,5.531.263.030,,4.0,34931920261.0,5531263030.0
Hồ sơ tại cơ quan thi hành án,Tình trạng hồ sơ > Hồ sơ tại cơ quan thi hành án,Hồ sơ tại cơ quan thi hành án,Hồ sơ tại cơ quan thi hành án,147,321.779.539.169,1.249.419.105.581,,147.0,321779539169.0,1249419105581.0
+ Hồ sơ đang thi hành án có Tài sản thế chấp (được thi hành án và bị thi hành án),Tình trạng hồ sơ > + Hồ sơ đang thi hành án có Tài sản thế chấp (được thi hành án và bị thi hành án),+ Hồ sơ đang thi hành án có Tài sản thế chấp (được thi hành án và bị thi hành án),+ Hồ sơ đang thi hành án có Tài sản thế chấp (được thi hành án và bị thi hành án),8,40.890.764.794,123.639.744.550,,8.0,40890764794.0,123639744550.0
+ Hồ sơ đang thi hành án có tài sản thế chấp (được thi hành án),Tình trạng hồ sơ > + Hồ sơ đang thi hành án có tài sản thế chấp (được thi hành án),+ Hồ sơ đang thi hành án có tài sản thế chấp (được thi hành án),+ Hồ sơ đang thi hành án có tài sản thế chấp (được thi hành án),38,269.840.104.055,745.269.265.704,,38.0,269840104055.0,745269265704.0
+ Hồ sơ thi hành án không có tài sản thế chấp,Tình trạng hồ sơ > + Hồ sơ thi hành án không có tài sản thế chấp,+ Hồ sơ thi hành án không có tài sản thế chấp,+ Hồ sơ thi hành án không có tài sản thế chấp,101,11.048.670.320,380.510.095.327,,101.0,11048670320.0,380510095327.0
Hồ sơ chưa khởi kiện,Tình trạng hồ sơ > Hồ sơ chưa khởi kiện,Hồ sơ chưa khởi kiện,Hồ sơ chưa khởi kiện,2,1.340.000.000,1.273.413.387,,2.0,1340000000.0,1273413387.0
,,,,175,705.173.695.430,2.186.519.695.386,,175.0,705173695430.0,2186519695386.0
(2) Chi tiết các hợp đồng cho vay Repo cổ phiếu,(2) Chi tiết các hợp đồng cho vay Repo cổ phiếu,(2) Chi tiết các hợp đồng cho vay Repo cổ phiếu,(2) Chi tiết các hợp đồng cho vay Repo cổ phiếu,(2) Chi tiết các hợp đồng cho vay Repo cổ phiếu,(2) Chi tiết các hợp đồng cho vay Repo cổ phiếu,(2) Chi tiết các hợp đồng cho vay Repo cổ phiếu,,,,
Khách hàng,Khách hàng,Khách hàng,Tài sản bảo đảm (cổ phần),Số lượng cổ phiếu,Số dư nợ gốc tại 31/12/2025,Dự phòng tại 31/12/2025,,,,
,,,,,VND,VND,,,,
Tô Đình Chiến,Khách hàng > Tô Đình Chiến,Tô Đình Chiến,Công ty Cổ phần Thép Hưng Thịnh,1.650.000,16.496.910.403,16.496.910.403,,1650000.0,16496910403.0,16496910403.0
Công ty Cổ phần Đầu tư Kiến Quân,Khách hàng > Công ty Cổ phần Đầu tư Kiến Quân,Công ty Cổ phần Đầu tư Kiến Quân,Công ty Cổ phần Thép Hưng Thịnh,1.000.000,7.000.000.000,7.000.000.000,,1000000.0,7000000000.0,7000000000.0
