row_label_raw,row_label_full,col_0,01/01/2025,01/01/2025_1,During the year,During the year_1,31/12/2025,31/12/2025_1,numeric__01/01/2025,numeric__01/01/2025_1,numeric__During the year,numeric__During the year_1,numeric__31/12/2025,numeric__31/12/2025_1
,,,Value,Provision,Increase,Decrease,Value,Provision,,,,,,
,,,VND,VND,VND,VND,VND,VND,,,,,,
b) Long-term,b) Long-term,b) Long-term,b) Long-term,b) Long-term,b) Long-term,b) Long-term,b) Long-term,b) Long-term,,,,,,
Related parties,Related parties,Related parties,"26,370,095,039",-,-,"4,395,036,182","21,975,058,857",-,,,,,,
"- Binh Thuan Rubber Co., Ltd","- Binh Thuan Rubber Co., Ltd","- Binh Thuan Rubber Co., Ltd","9,355,018,046",-,-,"1,559,181,666","7,795,836,380",-,,,,,,
"- Quang Nam Rubber Co., Ltd","- Quang Nam Rubber Co., Ltd","- Quang Nam Rubber Co., Ltd","8,111,264,405",-,-,"1,351,884,074","6,759,380,331",-,,,,,,
"- Ha Tinh Rubber Co., Ltd","- Ha Tinh Rubber Co., Ltd","- Ha Tinh Rubber Co., Ltd","5,934,053,850",-,-,"989,006,650","4,945,047,200",-,,,,,,
"- Quang Ngai Rubber Co., Ltd","- Quang Ngai Rubber Co., Ltd","- Quang Ngai Rubber Co., Ltd","2,969,758,738",-,-,"494,963,792","2,474,794,946",-,,,,,,
"Other parties: Lending receivables merged from Vietnam Rubber Finance One member Co., Ltd","Other parties: Lending receivables merged from Vietnam Rubber Finance One member Co., Ltd","Other parties: Lending receivables merged from Vietnam Rubber Finance One member Co., Ltd","723,783,751,151","(376,651,132,371)",-,"18,610,055,721","705,173,695,430","(369,956,690,650)",,,,,,
- Lending receivables under Repo share,- Lending receivables under Repo share,- Lending receivables under Repo share,"51,676,359,215","(45,579,059,215)",-,"60,000,000","51,616,359,215","(42,736,059,215)",,,,,,
+ Le Thanh Nha,+ Le Thanh Nha,+ Le Thanh Nha,"18,931,920,201","(12,834,620,201)",-,-,"18,931,920,201","(10,051,620,201)",,,,,,
+ To Dinh Chien,+ To Dinh Chien,+ To Dinh Chien,"16,496,910,403","(16,496,910,403)",-,-,"16,496,910,403","(16,496,910,403)",,,,,,
+ Kien Quan Investment JSC,+ Kien Quan Investment JSC,+ Kien Quan Investment JSC,"16,000,000,000","(16,000,000,000)",-,-,"16,000,000,000","(16,000,000,000)",,,,,,
+ Vuong Dang,+ Vuong Dang,+ Vuong Dang,"247,528,611","(247,528,611)",-,"60,000,000","187,528,611","(187,528,611)",,,,,,
- Others,- Others,- Others,"672,107,391,936","(331,072,073,156)",-,"18,550,055,721","653,557,336,215","(327,220,631,435)",,,,,,
,,,"750,153,846,190","(376,651,132,371)",-,"23,005,091,903","727,148,754,287","(369,956,690,650)",,,,,,
