row_label_raw,row_label_full,col_0,col_1,Năm nay,VNDNăm trước,numeric__col_1,numeric__Năm nay,numeric__VNDNăm trước
Vốn đã góp của chủ sở hữu,Vốn đã góp của chủ sở hữu,Vốn đã góp của chủ sở hữu,Vốn đã góp của chủ sở hữu,Vốn đã góp của chủ sở hữu,Vốn đã góp của chủ sở hữu,,,
Số đầu năm,Vốn đã góp của chủ sở hữu > Số đầu năm,Số đầu năm,7.224.509.210.000,6.117.790.020.000,,7224509210000.0,6117790020000.0,
Phát hành cổ phiếu cho cổ đông hiện hữu,Vốn đã góp của chủ sở hữu > Phát hành cổ phiếu cho cổ đông hiện hữu,Phát hành cổ phiếu cho cổ đông hiện hữu,2.436.465.480.000,1.016.719.190.000,,2436465480000.0,1016719190000.0,
Phát hành cổ phiếu thường,Vốn đã góp của chủ sở hữu > Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,1.480.342.060.000,-,,1480342060000.0,,
Phát hành cổ phiếu ESOP,Vốn đã góp của chủ sở hữu > Phát hành cổ phiếu ESOP,Phát hành cổ phiếu ESOP,-,90.000.000.000,,,90000000000.0,
Số cuối năm,Vốn đã góp của chủ sở hữu > Số cuối năm,Số cuối năm,11.141.316.750.000,7.224.509.210.000,,11141316750000.0,7224509210000.0,
Cổ tức đã công bố trong năm tài chính,Cổ tức đã công bố trong năm tài chính,Cổ tức đã công bố trong năm tài chính,Cổ tức đã công bố trong năm tài chính,Cổ tức đã công bố trong năm tài chính,Cổ tức đã công bố trong năm tài chính,,,
Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,,,
Cổ tức bằng tiền đã trả cho cổ đông không kiểm soát,Cổ tức trên cổ phiếu phổ thông > Cổ tức bằng tiền đã trả cho cổ đông không kiểm soát,Cổ tức bằng tiền đã trả cho cổ đông không kiểm soát,99.570.200.000,10.352.029.493,,99570200000.0,10352029493.0,
27.3 Cổ phiếu phổ thông,27.3 Cổ phiếu phổ thông,27.3 Cổ phiếu phổ thông,27.3 Cổ phiếu phổ thông,27.3 Cổ phiếu phổ thông,27.3 Cổ phiếu phổ thông,,,
,,,Số cuối năm,Số đầu năm,,,,
,,,Số cổ phiếu,Số cổ phiếu,,,,
Cổ phiếu được phép phát hành,27.3 Cổ phiếu phổ thông > Cổ phiếu được phép phát hành,Cổ phiếu được phép phát hành,1.114.131.675,722.450.921,,1114131675.0,722450921.0,
Cổ phiếu đã phát hành và góp vốn đầy đủ Cổ phiếu phổ thông,27.3 Cổ phiếu phổ thông > Cổ phiếu đã phát hành và góp vốn đầy đủ Cổ phiếu phổ thông,Cổ phiếu đã phát hành và góp vốn đầy đủ Cổ phiếu phổ thông,1.114.131.675,722.450.921,,1114131675.0,722450921.0,
Cổ phiếu quỹ Cổ phiếu phổ thông,27.3 Cổ phiếu phổ thông > Cổ phiếu quỹ Cổ phiếu phổ thông,Cổ phiếu quỹ Cổ phiếu phổ thông,(1.747.486),(1.747.486),,-1747486.0,-1747486.0,
Cổ phiếu đang lưu hành Cổ phiếu phổ thông,27.3 Cổ phiếu phổ thông > Cổ phiếu đang lưu hành Cổ phiếu phổ thông,Cổ phiếu đang lưu hành Cổ phiếu phổ thông,1.112.384.189,720.703.435,,1112384189.0,720703435.0,
