row_label_raw,row_label_full,Ngân hàng > Ngân hàng TMCP Hàng hải Việt Nam > Khoản vay 1 > Khoản vay 2,Số cuối năm(VND) > Ngân hàng TMCP Hàng hải Việt Nam > 170.116.278.412 > 115.500.000.000,Kỳ hạn trả gốc > Ngân hàng TMCP Hàng hải Việt Nam > Ngày 28 tháng 4 năm 2026 > Từ ngày 31 tháng 10 năm 2026đền 23 tháng 7 năm 2029,Mục đích vay > Ngân hàng TMCP Hàng hải Việt Nam > Tài trợ các dự ánđang triển khai,Hình thức đảm bảo > Ngân hàng TMCP Hàng hải Việt Nam > Giấy chứng nhận quyền sử dụng đất vàtài sản hình thành trong tương laicủa dự án Cara River Park,numeric__Số cuối năm(VND) > Ngân hàng TMCP Hàng hải Việt Nam > 170.116.278.412 > 115.500.000.000,numeric__Kỳ hạn trả gốc > Ngân hàng TMCP Hàng hải Việt Nam > Ngày 28 tháng 4 năm 2026 > Từ ngày 31 tháng 10 năm 2026đền 23 tháng 7 năm 2029,numeric__Mục đích vay > Ngân hàng TMCP Hàng hải Việt Nam > Tài trợ các dự ánđang triển khai,numeric__Hình thức đảm bảo > Ngân hàng TMCP Hàng hải Việt Nam > Giấy chứng nhận quyền sử dụng đất vàtài sản hình thành trong tương laicủa dự án Cara River Park
,,,285.616.278.412,,,,285616278412.0,,,
Trong đó:Vay dài hạn đến hạn trả,Trong đó:Vay dài hạn đến hạn trả,Trong đó:Vay dài hạn đến hạn trả,195.782.945.078,,,,195782945078.0,,,
Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,,,,
Khoản vay 1,Ngân hàng TMCP Ngoại thương Việt Nam > Khoản vay 1,Khoản vay 1,13.450.000.000,Từ ngày 21 tháng 7 năm 2026 đếnngày 21 tháng 7 năm 2038,Mua tài sản,Quyền sử dụng đất của dự án Tiến Hảitri giá 14.335.420.000 VND,13450000000.0,,,
Trong đó:Vay dài hạn đến hạn trả,Ngân hàng TMCP Ngoại thương Việt Nam > Trong đó:Vay dài hạn đến hạn trả,Trong đó:Vay dài hạn đến hạn trả,1.000.000.000,,,,1000000000.0,,,
