row_label_raw,row_label_full,col_0,VNDNhà cửa và vật kiến trúc,numeric__VNDNhà cửa và vật kiến trúc
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,301.915.307.837,301915307837.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,41.946.900.148,41946900148.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,(6.723.497.992),-6723497992.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,337.138.709.993,337138709993.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(149.282.586.724),-149282586724.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(11.108.232.242),-11108232242.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,1.905.840.169,1905840169.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(158.484.978.797),-158484978797.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,152.632.721.113,152632721113.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,178.653.731.196,178653731196.0
