row_label_raw,row_label_full,col_0,Nhà cửa vàvật kiến trúc,"Máy móc,thiết bị",Phương tiệnvận tải,Thiết bịvăn phòng,Tài sâncó định khác,VNDTổng cộng,numeric__Nhà cửa vàvật kiến trúc,"numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Tài sâncó định khác,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,289.570.419.746,13.687.230.208,118.930.308.732,26.885.304.527,23.955.274.731,473.028.537.944,289570419746.0,13687230208.0,118930308732.0,26885304527.0,23955274731.0,473028537944.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,30.414.788.582,465.023.051,4.528.092.012,2.249.305.594,-,37.657.209.239,30414788582.0,465023051.0,4528092012.0,2249305594.0,,37657209239.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,-,-,(3.707.885.201),(31.809.091),-,(3.739.694.292),,,-3707885201.0,-31809091.0,,-3739694292.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,319.985.208.328,14.152.253.259,119.750.515.543,29.102.801.030,23.955.274.731,506.946.052.891,319985208328.0,14152253259.0,119750515543.0,29102801030.0,23955274731.0,506946052891.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,273.087.000,1.912.821.131,48.855.669.279,22.280.684.955,1.508.116.493,74.830.378.858,273087000.0,1912821131.0,48855669279.0,22280684955.0,1508116493.0,74830378858.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(37.717.189.620),(12.772.954.552),(95.326.764.103),(24.357.664.776),(4.123.496.454),(174.298.069.505),-37717189620.0,-12772954552.0,-95326764103.0,-24357664776.0,-4123496454.0,-174298069505.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(12.926.505.954),(881.074.915),(7.226.046.462),(729.505.244),(1.463.924.391),(23.227.056.966),-12926505954.0,-881074915.0,-7226046462.0,-729505244.0,-1463924391.0,-23227056966.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,-,-,2.707.213.214,31.809.091,-,2.739.022.305,,,2707213214.0,31809091.0,,2739022305.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(50.643.695.574),(13.654.029.467),(99.845.597.351),(25.055.360.929),(5.587.420.845),(194.786.104.166),-50643695574.0,-13654029467.0,-99845597351.0,-25055360929.0,-5587420845.0,-194786104166.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,251.853.230.126,914.275.656,23.603.544.629,2.527.639.751,19.831.778.277,298.730.468.439,251853230126.0,914275656.0,23603544629.0,2527639751.0,19831778277.0,298730468439.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,269.341.512.754,498.223.792,19.904.918.192,4.047.440.101,18.367.853.886,312.159.948.725,269341512754.0,498223792.0,19904918192.0,4047440101.0,18367853886.0,312159948725.0
Trong đó:The chấp đề đảm bảo các khoản vay(Thuyết minh số 26.1 và 26.2),Giá trị còn lại: > Trong đó:The chấp đề đảm bảo các khoản vay(Thuyết minh số 26.1 và 26.2),Trong đó:The chấp đề đảm bảo các khoản vay(Thuyết minh số 26.1 và 26.2),-,-,19.904.918.192,-,-,19.904.918.192,,,19904918192.0,,,19904918192.0
