row_label_raw,row_label_full,Đầu tư vào công ty liên kết(Thuyết minh số 18.1) > Đầu tư góp vốn vào đơn vị khác > Đầu tư nắm giữ đến ngày đáo hạn,Số cuối năm > 334.175.883.071 > 379.012.012 > -,VND Số đầu năm > 417.041.140.128 > 879.012.012 > 25.000.000.000,numeric__Số cuối năm > 334.175.883.071 > 379.012.012 > -,numeric__VND Số đầu năm > 417.041.140.128 > 879.012.012 > 25.000.000.000
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,334.554.895.083,442.920.152.140,334554895083.0,442920152140.0
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,(17.794.570),(17.794.570),-17794570.0,-17794570.0
GIÁ TRỊ THUẦN,GIÁ TRỊ THUẦN,GIÁ TRỊ THUẦN,334.537.100.513,442.902.357.570,334537100513.0,442902357570.0
