row_label_raw,row_label_full,"Tên công ty liên kết > Công ty Cổ phần Đầu tư và Dịch vụ Đất Xanh Miền Nam (""Đất Xanh Miền Nam"")",Lĩnh vực kinh doanh > Kinh doanh và môi giới BĐS,Số cuối năm > Tỷ lệ biểu quyết% > 49,Số cuối năm > Giá trị ghi số VND > -,Số đầu năm > Tỷ lệ biểu quyết% > 49,Số đầu năm > Giá trị ghi số VND > -,numeric__Lĩnh vực kinh doanh > Kinh doanh và môi giới BĐS,numeric__Số cuối năm > Tỷ lệ biểu quyết% > 49,numeric__Số cuối năm > Giá trị ghi số VND > -,numeric__Số đầu năm > Tỷ lệ biểu quyết% > 49,numeric__Số đầu năm > Giá trị ghi số VND > -
Khác,Khác,Khác,Kinh doanh và môi giới BĐS,36,246.578.854,36,30.550.624,,36.0,246578854.0,36.0,30550624.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,334.175.883.071,,417.041.140.128,,,334175883071.0,,417041140128.0
