row_label_raw,row_label_full,Tên công ty liên kết,Lĩnh vực kinh doanh,Số cuối năm > Tỷ lệ biểu quyết %,Số cuối năm > Giá trị ghi số VND,Số đầu năm > Tỷ lệ biểu quyết %,Số đầu năm > Giá trị ghi số VND,numeric__Lĩnh vực kinh doanh,numeric__Số cuối năm > Tỷ lệ biểu quyết %,numeric__Số cuối năm > Giá trị ghi số VND,numeric__Số đầu năm > Tỷ lệ biểu quyết %,numeric__Số đầu năm > Giá trị ghi số VND
Công ty Cổ phần Đất Xanh Capital (i),Công ty Cổ phần Đất Xanh Capital (i),Công ty Cổ phần Đất Xanh Capital (i),Kinh doanh BĐS,49,298.935.865.649,49,299.693.461.236,,49.0,298935865649.0,49.0,299693461236.0
Công ty TNHH Bát động sản Thu Đại Thành (ii),Công ty TNHH Bát động sản Thu Đại Thành (ii),Công ty TNHH Bát động sản Thu Đại Thành (ii),Kinh doanh BĐS,25.3,27.000.000.000,-,-,,253.0,27000000000.0,,
Công ty TNHH Bát động sản Indochine,Công ty TNHH Bát động sản Indochine,Công ty TNHH Bát động sản Indochine,Kinh doanh và môi giới BĐS,27.77,3.635.505.872,27.77,2.396.895.164,,2777.0,3635505872.0,2777.0,2396895164.0
Công ty Cổ phần Tập đoàn Mogiland,Công ty Cổ phần Tập đoàn Mogiland,Công ty Cổ phần Tập đoàn Mogiland,Kinh doanh và môi giới BĐS,35,2.881.960.956,-,-,,35.0,2881960956.0,,
Công ty Cổ phần Nhà Ô' Ngay Reco,Công ty Cổ phần Nhà Ô' Ngay Reco,Công ty Cổ phần Nhà Ô' Ngay Reco,Kinh doanh và môi giới BĐS,25,1.214.829.142,25,1.188.615.732,,25.0,1214829142.0,25.0,1188615732.0
Công ty Cổ phần Giáo dục và Phát triển Tâm Phúc,Công ty Cổ phần Giáo dục và Phát triển Tâm Phúc,Công ty Cổ phần Giáo dục và Phát triển Tâm Phúc,Giáo dục,40,177.983.577,-,-,,40.0,177983577.0,,
Công ty Cổ phần Sight Really,Công ty Cổ phần Sight Really,Công ty Cổ phần Sight Really,Kinh doanh và môi giới BĐS,45,83.159.021,45,83.159.021,,45.0,83159021.0,45.0,83159021.0
Công ty TNHH Bát động sản Lan Anh (TM số 4),Công ty TNHH Bát động sản Lan Anh (TM số 4),Công ty TNHH Bát động sản Lan Anh (TM số 4),Kinh doanh và môi giới BĐS,30,-,30,49.392.989.526,,30.0,,30.0,49392989526.0
Công ty TNHH Đầu tư Lê Gia Newland (TM số 4),Công ty TNHH Đầu tư Lê Gia Newland (TM số 4),Công ty TNHH Đầu tư Lê Gia Newland (TM số 4),Kinh doanh và môi giới BĐS,50,-,50,39.255.468.825,,50.0,,50.0,39255468825.0
"Công ty TNHH Tư vấn và Đầu tư Tadugo (""Tadugo"")","Công ty TNHH Tư vấn và Đầu tư Tadugo (""Tadugo"")","Công ty TNHH Tư vấn và Đầu tư Tadugo (""Tadugo"")",Kinh doanh và môi giới BĐS,25,-,25,25.000.000.000,,25.0,,25.0,25000000000.0
